timestamp,timestamp_iso,symbol,oi,ls_top_ratio,ls_global_ratio,funding_rate,source,status,error,collected_at
1785366000000,2026-07-29T23:00:00.000Z,BNBUSDT,578890.51,3.4385,,,api_heal_24h,partial,missing:funding,1785455261906
1785369600000,2026-07-30T00:00:00.000Z,BNBUSDT,578454.34,3.3995,,,api_heal_24h,partial,missing:funding,1785455261906
1785373200000,2026-07-30T01:00:00.000Z,BNBUSDT,579740.11,3.3611,,,api_heal_24h,partial,missing:funding,1785455261906
1785376800000,2026-07-30T02:00:00.000Z,BNBUSDT,581267.78,3.2481,,,api_heal_24h,partial,missing:funding,1785455261906
1785380400000,2026-07-30T03:00:00.000Z,BNBUSDT,579161.81,3.1356,,,api_heal_24h,partial,missing:funding,1785455261906
1785384000000,2026-07-30T04:00:00.000Z,BNBUSDT,578574.91,3.1824,,,api_heal_24h,partial,missing:funding,1785455261906
1785387600000,2026-07-30T05:00:00.000Z,BNBUSDT,578077.63,3.2176,,,api_heal_24h,partial,missing:funding,1785455261906
1785391200000,2026-07-30T06:00:00.000Z,BNBUSDT,576935.13,3.2644,,,api_heal_24h,partial,missing:funding,1785455261906
1785394800000,2026-07-30T07:00:00.000Z,BNBUSDT,576609.68,3.2517,,,api_heal_24h,partial,missing:funding,1785455261906
1785398400000,2026-07-30T08:00:00.000Z,BNBUSDT,576689.6,3.1789,,,api_heal_24h,partial,missing:funding,1785455261906
1785402000000,2026-07-30T09:00:00.000Z,BNBUSDT,578327.78,3.07,,,api_heal_24h,partial,missing:funding,1785455261906
1785405600000,2026-07-30T10:00:00.000Z,BNBUSDT,578456.94,3.0355,,,api_heal_24h,partial,missing:funding,1785455261906
1785409200000,2026-07-30T11:00:00.000Z,BNBUSDT,587798.55,2.5676,,,api_heal_24h,partial,missing:funding,1785455261906
1785412800000,2026-07-30T12:00:00.000Z,BNBUSDT,592703.06,2.4507,,,api_heal_24h,partial,missing:funding,1785455261906
1785416400000,2026-07-30T13:00:00.000Z,BNBUSDT,592463.85,2.4002,,,api_heal_24h,partial,missing:funding,1785455261906
1785420000000,2026-07-30T14:00:00.000Z,BNBUSDT,592947.83,2.3818,,,api_heal_24h,partial,missing:funding,1785455261906
1785423600000,2026-07-30T15:00:00.000Z,BNBUSDT,593433.54,2.3602,,,api_heal_24h,partial,missing:funding,1785455261906
1785427200000,2026-07-30T16:00:00.000Z,BNBUSDT,595622.73,2.2949,,,api_heal_24h,partial,missing:funding,1785455261906
1785430800000,2026-07-30T17:00:00.000Z,BNBUSDT,599088.39,2.2478,,,api_heal_24h,partial,missing:funding,1785455261906
1785434400000,2026-07-30T18:00:00.000Z,BNBUSDT,600607.66,2.2321,,,api_heal_24h,partial,missing:funding,1785455261906
1785438000000,2026-07-30T19:00:00.000Z,BNBUSDT,601648.95,2.201,,,api_heal_24h,partial,missing:funding,1785455261906
1785441600000,2026-07-30T20:00:00.000Z,BNBUSDT,603172.4,2.1837,,,api_heal_24h,partial,missing:funding,1785455261906
1785445200000,2026-07-30T21:00:00.000Z,BNBUSDT,603494.27,2.1686,,,api_heal_24h,partial,missing:funding,1785455261906
1785448800000,2026-07-30T22:00:00.000Z,BNBUSDT,602917.54,2.1566,,,api_heal_24h,partial,missing:funding,1785455261906
1785452400000,2026-07-30T23:00:00.000Z,BNBUSDT,604217.07,2.1616,,0.0001066,forward_archive,ok,,1785455261906
1785456000000,2026-07-31T00:00:00.000Z,BNBUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785456037425
1785463200000,2026-07-31T02:00:00.000Z,BNBUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785463639332
