symbol,threshold,n,nPerMonth,wr,ev,longN,longWr,longEv,shortN,shortWr,shortEv,pctLostVs1,isN,isWr,isEv,oosN,oosWr,oosEv
BTCUSDT,1,348,58,75.29,0.5066,176,76.14,0.4396,172,74.42,0.5752,0,229,75.55,0.5645,119,74.79,0.3954
BTCUSDT,1.5,330,55,77.58,0.5509,165,80,0.4983,165,75.15,0.6034,5.17,214,78.97,0.6187,116,75,0.4258
BTCUSDT,2,318,53,78.3,0.5769,160,78.13,0.4958,158,78.48,0.659,8.62,205,79.51,0.6511,113,76.11,0.4423
BTCUSDT,2.5,307,51.17,79.8,0.599,155,78.06,0.4948,152,81.58,0.7053,11.78,199,81.41,0.6772,108,76.85,0.4548
BTCUSDT,3,288,48,79.51,0.6275,144,76.39,0.5022,144,82.64,0.7527,17.24,176,80.11,0.6581,112,78.57,0.5793
NEARUSDT,1,166,27.67,75.9,0.4548,27,70.37,0.4126,139,76.98,0.463,0,106,75.47,0.4227,60,76.67,0.5115
NEARUSDT,1.5,156,26,76.28,0.4596,27,70.37,0.4126,129,77.52,0.4695,6.02,102,76.47,0.445,54,75.93,0.4874
NEARUSDT,2,153,25.5,76.47,0.4766,27,70.37,0.4161,126,77.78,0.4896,7.83,102,76.47,0.4603,51,76.47,0.5093
NEARUSDT,2.5,142,23.67,75.35,0.5123,25,72,0.4609,117,76.07,0.5233,14.46,93,78.49,0.5217,49,69.39,0.4945
NEARUSDT,3,132,22,77.27,0.5646,25,72,0.4582,107,78.5,0.5894,20.48,88,80.68,0.5516,44,70.45,0.5904
SOLUSDT,1,255,42.5,69.02,0.4168,99,67.68,0.4372,156,69.87,0.4038,0,170,68.82,0.4319,85,69.41,0.3865
SOLUSDT,1.5,239,39.83,72.38,0.4691,91,73.63,0.5295,148,71.62,0.4319,6.27,163,73.62,0.4957,76,69.74,0.4119
SOLUSDT,2,232,38.67,73.71,0.499,85,76.47,0.5745,147,72.11,0.4553,9.02,160,75,0.5181,72,70.83,0.4565
SOLUSDT,2.5,221,36.83,75.11,0.533,83,75.9,0.5749,138,74.64,0.5078,13.33,153,75.82,0.552,68,73.53,0.4903
SOLUSDT,3,201,33.5,78.11,0.6063,74,77.03,0.6368,127,78.74,0.5885,21.18,139,79.14,0.644,62,75.81,0.5217
BNBUSDT,1,303,50.5,73.6,0.4438,96,78.13,0.4886,207,71.5,0.4231,0,209,73.21,0.4384,94,74.47,0.4559
BNBUSDT,1.5,285,47.5,76.14,0.4914,90,76.67,0.4953,195,75.9,0.4896,5.94,194,75.77,0.4911,91,76.92,0.4921
BNBUSDT,2,259,43.17,78.76,0.5267,79,79.75,0.4947,180,78.33,0.5407,14.52,176,78.98,0.5245,83,78.31,0.5312
BNBUSDT,2.5,248,41.33,79.44,0.5647,73,79.45,0.4881,175,79.43,0.5967,18.15,165,80,0.5744,83,78.31,0.5455
BNBUSDT,3,213,35.5,81.22,0.596,60,80,0.482,153,81.7,0.6408,29.7,144,80.56,0.598,69,82.61,0.592
