symbol,entryTime,exitTime,entryIso,exitIso,side,entryPrice,exitPrice,sl,tp1,tp2,tp3,pnlPct,resultR,exitReason,decision,score,longScore,shortScore,scoreDiff,ambiguityStatus,ambiguityThreshold,groupA,groupB,groupC,primaryRR,marketMode,hourVn,l1,l2,l3,l4,l5a,l5b,l6,l7,l8,l9,l10,tradePlanValid,win
BNBUSDT,1770627600000,1770642000000,2026-02-09T09:00:00.000Z,2026-02-09T13:00:00.000Z,SHORT,636.6739379882813,625.29,655.890872,598.24007,579.023136,550.197735,1.788,0.5924,TIMEOUT,CO_THE_VAO,9.9,4.79,9.9,5.11,CLEAR,2.5,2.8125,2.5,4.5833,2,RANGING,16,2,1,1.5,0,2,0,1,1,2,1.5,2,1,1
BNBUSDT,1770645600000,1770656400000,2026-02-09T14:00:00.000Z,2026-02-09T17:00:00.000Z,SHORT,631.3172632217407,640.983705,640.983705,611.98438,602.317938,587.818275,-1.5312,-1,SL,SETUP_NGON,11.67,7.19,11.67,4.48,CLEAR,2.5,4.375,3.125,4.1667,2,TRENDING,21,2,2,1,2,2,1,1,1,1,2,2,1,0
BNBUSDT,1770703200000,1770717600000,2026-02-10T06:00:00.000Z,2026-02-10T10:00:00.000Z,SHORT,634.6379673957824,626.86,648.923427,606.067048,591.781589,572.001,1.2256,0.5445,TIMEOUT,VAO_TU_TIN,10.42,5.94,10.42,4.48,CLEAR,2.5,3.4375,2.8125,4.1667,2,RANGING,13,2,2,1.5,0,2,0.5,1,1,2,1,2,1,1
BNBUSDT,1770721200000,1770735600000,2026-02-10T11:00:00.000Z,2026-02-10T15:00:00.000Z,SHORT,632.0667627334594,619,645.52146,605.157368,591.702671,572.001,2.0673,0.9712,TIMEOUT,VAO_TU_TIN,10.52,5.42,10.52,5.1,CLEAR,2.5,3.4375,2.5,4.5833,2,RANGING,18,2,2,1.5,0,2,0,1,1,2,1.5,2,1,1
BNBUSDT,1770739200000,1770753600000,2026-02-10T16:00:00.000Z,2026-02-10T20:00:00.000Z,SHORT,627.1472799301148,617.56,638.857588,603.726664,592.016356,572.001,1.5287,0.8187,TIMEOUT,VAO_TU_TIN,10.73,6.56,10.73,4.17,CLEAR,2.5,3.75,2.8125,4.1667,2,TRENDING,23,2,1,1,2,2,0.5,1,1,1,2,2,1,1
BNBUSDT,1770786000000,1770800400000,2026-02-11T05:00:00.000Z,2026-02-11T09:00:00.000Z,SHORT,618.6616090774536,593.45,634.513215,586.958397,572.001,547.329382,4.0752,1.5905,TIMEOUT,CO_THE_VAO,9.79,3.75,9.79,6.04,CLEAR,2.5,3.125,2.5,4.1667,2,RANGING,12,2,1,2,0,2,0,1,1,2,1,2,1,1
BNBUSDT,1770804000000,1770818400000,2026-02-11T10:00:00.000Z,2026-02-11T14:00:00.000Z,SHORT,608.6637913703919,597.35,619.874483,586.242408,575.031716,558.215679,1.8588,1.0092,TIMEOUT,VAO_TU_TIN,10.83,4.79,10.83,6.04,CLEAR,2.5,3.125,3.125,4.5833,2,TRENDING,17,2,1,2,0,2,1,1,1,2,1.5,2,1,1
BNBUSDT,1770912000000,1770940800000,2026-02-12T16:00:00.000Z,2026-02-13T00:00:00.000Z,SHORT,610.6996350288391,610.96,620.817859,588.351,580.344963,565.167627,-0.0426,-0.0257,TIMEOUT,SETUP_NGON,11.56,7.29,11.56,4.27,CLEAR,2.5,3.4375,3.125,5,2.21,RANGING,23,2,2,1.5,0,2,1,1,1,2,2,2,1,0
BNBUSDT,1770991200000,1770994800000,2026-02-13T14:00:00.000Z,2026-02-13T15:00:00.000Z,SHORT,602.179663269043,615.242564,615.242564,576.053862,562.990961,543.39661,-2.1693,-1,SL,VAO_TU_TIN,11.04,9.38,11.04,1.66,CLEAR,2.5,3.75,3.125,4.1667,2,RANGING,21,2,2,1,1,2,1,1,1,1,2,2,1,0
BNBUSDT,1771077600000,1771092000000,2026-02-14T14:00:00.000Z,2026-02-14T18:00:00.000Z,LONG,624.648820590973,631.99,610.708083,653.129,666.471033,687.38214,1.1752,0.5266,TIMEOUT,CO_THE_VAO,9.9,9.9,5.52,4.38,CLEAR,2.5,2.7083,2.1875,5,2.04,RANGING,21,1.3333333333333333,1,2,0,1,0.5,1,1,2,2,2,1,1
BNBUSDT,1771156800000,1771171200000,2026-02-15T12:00:00.000Z,2026-02-15T16:00:00.000Z,SHORT,629.5055961608887,619.79,641.484016,605.548756,592.301,575.602707,1.5434,0.8111,TIMEOUT,VAO_TU_TIN,10.52,6.25,10.52,4.27,CLEAR,2.5,2.8125,3.125,4.5833,2,RANGING,19,2,1,1.5,0,2,1,1,1,2,1.5,2,1,1
BNBUSDT,1771174800000,1771189200000,2026-02-15T17:00:00.000Z,2026-02-15T21:00:00.000Z,SHORT,624.723857498169,615.74,637.650865,598.869842,587.031,566.552324,1.4381,0.695,TIMEOUT,CO_THE_VAO,9.79,5.63,9.79,4.16,CLEAR,2.5,2.5,3.125,4.1667,2,TRENDING,0,2,1,1,0,2,1,1,1,2,1,2,1,1
BNBUSDT,1771203600000,1771232400000,2026-02-16T01:00:00.000Z,2026-02-16T09:00:00.000Z,SHORT,618.7044439315796,618.43,627.165624,601.782084,592.301,580.629134,0.0444,0.0324,TIMEOUT,SETUP_NGON,11.88,6.46,11.88,5.42,CLEAR,2.5,4.375,2.5,5,2,RANGING,8,2,2,2,1,2,0,1,1,2,2,2,1,1
BNBUSDT,1771236000000,1771246800000,2026-02-16T10:00:00.000Z,2026-02-16T13:00:00.000Z,SHORT,616.89375,629.702095,629.702095,591.27706,578.468715,559.256197,-2.0763,-1,SL,CO_THE_VAO,9.79,6.35,9.79,3.44,CLEAR,2.5,2.7083,2.5,4.5833,2,RANGING,17,1.3333333333333333,2,1,0,2,0,1,1,2,1.5,2,1,0
BNBUSDT,1771318800000,1771333200000,2026-02-17T09:00:00.000Z,2026-02-17T13:00:00.000Z,SHORT,618.6546257934571,623.91,629.385364,597.193149,587.031,570.366304,-0.8495,-0.4897,TIMEOUT,VAO_TU_TIN,10.42,7.6,10.42,2.82,CLEAR,2.5,3.75,2.5,4.1667,2,RANGING,16,1.5,2,1.5,1,2,0,1,1,1.5,1.5,2,1,0
BNBUSDT,1771336800000,1771365600000,2026-02-17T14:00:00.000Z,2026-02-17T22:00:00.000Z,SHORT,619.3445417404175,617.85,628.709394,600.614837,592.301,577.202707,0.2413,0.1596,TIMEOUT,SETUP_NGON,11.56,5.83,11.56,5.73,CLEAR,2.5,3.4375,3.125,5,2,RANGING,21,1.5,2,2,0,2,1,1,1,2,2,2,1,1
BNBUSDT,1771423200000,1771437600000,2026-02-18T14:00:00.000Z,2026-02-18T18:00:00.000Z,SHORT,616.1444389343262,610.42,626.752693,592.301,587.031,568.407296,0.9291,0.5396,TIMEOUT,VAO_TU_TIN,10.21,7.08,10.21,3.13,CLEAR,2.5,3.75,3.125,3.3333,2.25,RANGING,21,2,2,2,0,2,1,1,1,0,2,2,1,1
BNBUSDT,1771462800000,1771491600000,2026-02-19T01:00:00.000Z,2026-02-19T09:00:00.000Z,SHORT,609.2741914749146,606.1,615.970076,595.882422,587.031,579.142711,0.521,0.4741,TIMEOUT,SETUP_NGON,11.67,6.98,11.67,4.69,CLEAR,2.5,5,2.5,4.1667,2,TRENDING,8,2,2,2,2,2,0,1,1,1,2,2,1,1
BNBUSDT,1771495200000,1771509600000,2026-02-19T10:00:00.000Z,2026-02-19T14:00:00.000Z,SHORT,607.9737319946289,601.9,617.87291,588.175376,578.276198,563.427431,0.999,0.6136,TIMEOUT,VAO_TU_TIN,10.42,6.67,10.42,3.75,CLEAR,2.5,3.75,2.5,4.1667,2,RANGING,17,2,2,1,1,2,0,1,1,1.5,1.5,2,1,1
BNBUSDT,1771513200000,1771542000000,2026-02-19T15:00:00.000Z,2026-02-19T23:00:00.000Z,SHORT,604.982860660553,607.56,616.196906,582.55477,571.340725,554.519657,-0.426,-0.2298,TIMEOUT,VAO_TU_TIN,11.46,5.83,11.46,5.63,CLEAR,2.5,3.75,3.125,4.5833,2,RANGING,22,2,2,2,0,2,1,1,1,1.5,2,2,1,0
BNBUSDT,1771682400000,1771696800000,2026-02-21T14:00:00.000Z,2026-02-21T18:00:00.000Z,LONG,627.7443895339966,628.86,620.733046,642.699,648.77842,659.295435,0.1777,0.1591,TIMEOUT,VAO_TU_TIN,10.63,10.63,5.83,4.8,CLEAR,2.5,3.125,2.5,5,2.13,RANGING,21,2,1,2,0,1,1,1,1,2,2,2,1,1
