symbol,entryTime,exitTime,entryIso,exitIso,side,entryPrice,exitPrice,sl,tp1,tp2,tp3,pnlPct,resultR,exitReason,decision,score,longScore,shortScore,scoreDiff,ambiguityStatus,ambiguityThreshold,groupA,groupB,groupC,primaryRR,marketMode,hourVn,l1,l2,l3,l4,l5a,l5b,l6,l7,l8,l9,l10,tradePlanValid,win
BNBUSDT,1770627600000,1770642000000,2026-02-09T09:00:00.000Z,2026-02-09T13:00:00.000Z,SHORT,636.6739379882813,625.29,655.890872,598.24007,579.023136,550.197735,1.788,0.5924,TIMEOUT,CO_THE_VAO,9.9,4.79,9.9,5.11,CLEAR,3,2.8125,2.5,4.5833,2,RANGING,16,2,1,1.5,0,2,0,1,1,2,1.5,2,1,1
BNBUSDT,1770645600000,1770656400000,2026-02-09T14:00:00.000Z,2026-02-09T17:00:00.000Z,SHORT,631.3172632217407,640.983705,640.983705,611.98438,602.317938,587.818275,-1.5312,-1,SL,SETUP_NGON,11.67,7.19,11.67,4.48,CLEAR,3,4.375,3.125,4.1667,2,TRENDING,21,2,2,1,2,2,1,1,1,1,2,2,1,0
BNBUSDT,1770706800000,1770721200000,2026-02-10T07:00:00.000Z,2026-02-10T11:00:00.000Z,SHORT,634.2600609779358,626.11,648.200843,606.378497,592.437715,572.001,1.285,0.5846,TIMEOUT,VAO_TU_TIN,10.31,5.63,10.31,4.68,CLEAR,3,4.0625,2.5,3.75,2,RANGING,14,2,2,1.5,1,2,0,1,1,1.5,1,2,1,1
BNBUSDT,1770724800000,1770739200000,2026-02-10T12:00:00.000Z,2026-02-10T16:00:00.000Z,SHORT,631.2533078193665,620.87,647.707154,598.345615,581.891769,557.211,1.6449,0.6311,TIMEOUT,CO_THE_VAO,9.48,5.42,9.48,4.06,CLEAR,3,2.8125,2.5,4.1667,2,RANGING,19,2,1,1.5,0,2,0,1,1,1.5,1.5,2,1,1
BNBUSDT,1770742800000,1770757200000,2026-02-10T17:00:00.000Z,2026-02-10T21:00:00.000Z,SHORT,626.6730131149292,615.76,646.08331,587.852419,568.442122,539.326677,1.7414,0.5622,TIMEOUT,CO_THE_VAO,9.58,5.73,9.58,3.85,CLEAR,3,3.75,2.5,3.3333,2,TRENDING,0,2,1,1,2,2,0,1,1,1,1,2,1,1
BNBUSDT,1770786000000,1770800400000,2026-02-11T05:00:00.000Z,2026-02-11T09:00:00.000Z,SHORT,618.6616090774536,593.45,634.513215,586.958397,572.001,547.329382,4.0752,1.5905,TIMEOUT,CO_THE_VAO,9.79,3.75,9.79,6.04,CLEAR,3,3.125,2.5,4.1667,2,RANGING,12,2,1,2,0,2,0,1,1,2,1,2,1,1
BNBUSDT,1770804000000,1770818400000,2026-02-11T10:00:00.000Z,2026-02-11T14:00:00.000Z,SHORT,608.6637913703919,597.35,619.874483,586.242408,575.031716,558.215679,1.8588,1.0092,TIMEOUT,VAO_TU_TIN,10.83,4.79,10.83,6.04,CLEAR,3,3.125,3.125,4.5833,2,TRENDING,17,2,1,2,0,2,1,1,1,2,1.5,2,1,1
BNBUSDT,1770912000000,1770940800000,2026-02-12T16:00:00.000Z,2026-02-13T00:00:00.000Z,SHORT,610.6996350288391,610.96,620.817859,588.351,580.344963,565.167627,-0.0426,-0.0257,TIMEOUT,SETUP_NGON,11.56,7.29,11.56,4.27,CLEAR,3,3.4375,3.125,5,2.21,RANGING,23,2,2,1.5,0,2,1,1,1,2,2,2,1,0
BNBUSDT,1771160400000,1771174800000,2026-02-15T13:00:00.000Z,2026-02-15T17:00:00.000Z,SHORT,628.2189721107483,613.92,640.73722,603.182476,592.301,571.886857,2.2761,1.1423,TIMEOUT,VAO_TU_TIN,10.52,5.42,10.52,5.1,CLEAR,3,2.8125,3.125,4.5833,2,RANGING,20,2,1,1.5,0,2,1,1,1,2,1.5,2,1,1
BNBUSDT,1771203600000,1771232400000,2026-02-16T01:00:00.000Z,2026-02-16T09:00:00.000Z,SHORT,618.7044439315796,618.43,627.165624,601.782084,592.301,580.629134,0.0444,0.0324,TIMEOUT,SETUP_NGON,11.88,6.46,11.88,5.42,CLEAR,3,4.375,2.5,5,2,RANGING,8,2,2,2,1,2,0,1,1,2,2,2,1,1
BNBUSDT,1771236000000,1771246800000,2026-02-16T10:00:00.000Z,2026-02-16T13:00:00.000Z,SHORT,616.89375,629.702095,629.702095,591.27706,578.468715,559.256197,-2.0763,-1,SL,CO_THE_VAO,9.79,6.35,9.79,3.44,CLEAR,3,2.7083,2.5,4.5833,2,RANGING,17,1.3333333333333333,2,1,0,2,0,1,1,2,1.5,2,1,0
BNBUSDT,1771326000000,1771340400000,2026-02-17T11:00:00.000Z,2026-02-17T15:00:00.000Z,SHORT,618.6546257934571,615.27,629.0663,597.831277,587.031,571.802092,0.5471,0.3251,TIMEOUT,VAO_TU_TIN,10.42,6.98,10.42,3.44,CLEAR,3,3.75,2.5,4.1667,2,RANGING,18,2,2,1,1,2,0,1,1,1.5,1.5,2,1,1
