symbol,entryTime,exitTime,entryIso,exitIso,side,entryPrice,exitPrice,sl,tp1,tp2,tp3,pnlPct,resultR,exitReason,decision,score,longScore,shortScore,scoreDiff,ambiguityStatus,ambiguityThreshold,groupA,groupB,groupC,primaryRR,marketMode,hourVn,l1,l2,l3,l4,l5a,l5b,l6,l7,l8,l9,l10,tradePlanValid,win
BTCUSDT,1770166800000,1770181200000,2026-02-04T01:00:00.000Z,2026-02-04T05:00:00.000Z,SHORT,76342.4627004747,76255,78637.006573,71753.374955,69458.831083,66017.015274,0.1146,0.0381,TIMEOUT,VAO_TU_TIN,10.42,7.5,10.42,2.92,CLEAR,2.5,3.75,2.5,4.1667,2,RANGING,8,2,2,1,1,2,0,1,1,1,2,2,1,1
BTCUSDT,1770206400000,1770220800000,2026-02-04T12:00:00.000Z,2026-02-04T16:00:00.000Z,SHORT,76164.67266845703,73609.1,77818.906433,72856.205139,71201.971375,68720.620728,3.3553,1.5449,TIMEOUT,VAO_TU_TIN,10.73,5.42,10.73,5.31,CLEAR,2.5,4.0625,2.5,4.1667,2,RANGING,19,2,1,1.5,2,2,0,1,1,1.5,1.5,2,1,1
BTCUSDT,1770224400000,1770238800000,2026-02-04T17:00:00.000Z,2026-02-04T21:00:00.000Z,SHORT,75166.78682861329,72772.8,76922.510059,71655.340368,69899.617137,67266.032292,3.1849,1.3635,TIMEOUT,VAO_TU_TIN,10.42,4.38,10.42,6.04,CLEAR,2.5,3.125,3.125,4.1667,2,TRENDING,0,2,1,2,0,2,1,1,1,2,1,2,1,1
BTCUSDT,1770256800000,1770267600000,2026-02-05T02:00:00.000Z,2026-02-05T05:00:00.000Z,SHORT,73570.883203125,70545.200977,75083.724316,70545.200977,69032.359865,66763.098195,4.1126,2,TP,SETUP_NGON,11.56,4.9,11.56,6.66,CLEAR,2.5,3.125,3.4375,5,2,TRENDING,9,2,1,2,0,2,1,1.5,1,2,2,2,1,1
BTCUSDT,1770271200000,1770285600000,2026-02-05T06:00:00.000Z,2026-02-05T10:00:00.000Z,SHORT,72635.94685058594,70820.3,75473.904218,66960.032116,64122.074748,59865.138697,2.4997,0.6398,TIMEOUT,CO_THE_VAO,9.27,3.85,9.27,5.42,CLEAR,2.5,3.125,2.8125,3.3333,2,RANGING,13,2,1,2,0,2,0,1.5,1,1,1,2,1,1
BTCUSDT,1770289200000,1770303600000,2026-02-05T11:00:00.000Z,2026-02-05T15:00:00.000Z,SHORT,71851.94304199218,67326.939966,74114.44458,67326.939966,65064.438428,61670.686121,6.2977,2,TP,VAO_TU_TIN,10.52,4.48,10.52,6.04,CLEAR,2.5,3.125,2.8125,4.5833,2,RANGING,18,2,1,2,0,2,0.5,1,1,2,1.5,2,1,1
BTCUSDT,1770307200000,1770314400000,2026-02-05T16:00:00.000Z,2026-02-05T18:00:00.000Z,SHORT,70511.49614257812,66057.27046,72738.608984,66057.27046,63830.157618,60489.488356,6.317,2,TP,VAO_TU_TIN,10.42,5.63,10.42,4.79,CLEAR,2.5,3.125,3.125,4.1667,2,TRENDING,23,2,1,2,0,2,1,1,1,1,2,2,1,1
BTCUSDT,1770393600000,1770408000000,2026-02-06T16:00:00.000Z,2026-02-06T20:00:00.000Z,LONG,67189.16022949219,69939,64506.983789,72553.51311,75235.689551,79258.954212,4.0927,1.0252,TIMEOUT,VAO_TU_TIN,10.94,10.94,4.9,6.04,CLEAR,2.5,3.125,2.8125,5,2,TRENDING,23,1,2,2,0,1,0.5,2,1,2,2,2,1,1
BTCUSDT,1770426000000,1770440400000,2026-02-07T01:00:00.000Z,2026-02-07T05:00:00.000Z,LONG,69241.76162109376,70124.6,66312.024414,75101.236035,78030.973242,82425.579053,1.275,0.3013,TIMEOUT,VAO_TU_TIN,10.63,10.63,5.21,5.42,CLEAR,2.5,3.125,2.5,5,2,RANGING,8,1,2,2,0,1,0,2,1,2,2,2,1,1
BTCUSDT,1770537600000,1770552000000,2026-02-08T08:00:00.000Z,2026-02-08T12:00:00.000Z,LONG,69519.07027587891,71203.4,67891.930054,72773.35072,74400.490942,76841.201274,2.4228,1.0351,TIMEOUT,VAO_TU_TIN,10.21,10.21,5.42,4.79,CLEAR,2.5,3.125,2.5,4.5833,2,RANGING,15,1,2,2,0,1,1,1,1,2,1.5,2,1,1
BTCUSDT,1770555600000,1770570000000,2026-02-08T13:00:00.000Z,2026-02-08T17:00:00.000Z,LONG,70101.7744140625,70754.5,68480.093506,73563.147437,74966.817138,77399.3385,0.9311,0.4025,TIMEOUT,CO_THE_VAO,9.27,9.27,4.48,4.79,CLEAR,2.5,2.5,2.1875,4.5833,2.13,TRENDING,20,1,1,2,0,1,0.5,1,1,2,1.5,2,1,1
BTCUSDT,1770634800000,1770649200000,2026-02-09T11:00:00.000Z,2026-02-09T15:00:00.000Z,SHORT,70003.14381103516,69528.9,71692.640015,66624.151403,64934.655199,62400.410893,0.6775,0.2807,TIMEOUT,VAO_TU_TIN,10.1,5.42,10.1,4.68,CLEAR,2.5,3.4375,2.5,4.1667,2,RANGING,18,2,2,1.5,0,2,0,1,1,1.5,1.5,2,1,1
BTCUSDT,1770714000000,1770728400000,2026-02-10T09:00:00.000Z,2026-02-10T13:00:00.000Z,SHORT,69523.87646484375,68981.9,71437.362183,65696.905029,63783.41931,60913.190733,0.7796,0.2832,TIMEOUT,CO_THE_VAO,9.79,5.42,9.79,4.37,CLEAR,2.5,3.125,2.5,4.1667,2,RANGING,16,2,2,1,0,2,0,1,1,1.5,1.5,2,1,1
BTCUSDT,1770778800000,1770807600000,2026-02-11T03:00:00.000Z,2026-02-11T11:00:00.000Z,SHORT,68817.37689208984,67023,70297.285767,65857.559142,64377.650267,62157.786955,2.6074,1.2125,TIMEOUT,VAO_TU_TIN,11.25,5.21,11.25,6.04,CLEAR,2.5,3.75,2.5,5,2,RANGING,10,2,2,2,0,2,0,1,1,2,2,2,1,1
BTCUSDT,1770811200000,1770818400000,2026-02-11T12:00:00.000Z,2026-02-11T14:00:00.000Z,SHORT,67657.09030761718,68779.800977,68779.800977,65411.668969,64288.958299,62604.892295,-1.6594,-1,SL,VAO_TU_TIN,11.35,6.67,11.35,4.68,CLEAR,2.5,5,2.1875,4.1667,2,TRENDING,19,2,2,2,2,2,0.5,0,1,1.5,1.5,2,1,0
BTCUSDT,1770858000000,1770872400000,2026-02-12T01:00:00.000Z,2026-02-12T05:00:00.000Z,SHORT,67833.0759375,67110.1,70013.66984,63471.888133,61291.29423,58020.403376,1.0658,0.3316,TIMEOUT,CO_THE_VAO,9.38,6.56,9.38,2.82,CLEAR,2.5,2.7083,2.5,4.1667,2,RANGING,8,1.3333333333333333,2,1,0,2,0,1,1,1,2,2,1,1
