symbol,entryTime,exitTime,entryIso,exitIso,side,entryPrice,exitPrice,sl,tp1,tp2,tp3,pnlPct,resultR,exitReason,decision,score,longScore,shortScore,scoreDiff,ambiguityStatus,ambiguityThreshold,groupA,groupB,groupC,primaryRR,marketMode,hourVn,l1,l2,l3,l4,l5a,l5b,l6,l7,l8,l9,l10,tradePlanValid,win
SOLUSDT,1770138000000,1770152400000,2026-02-03T17:00:00.000Z,2026-02-03T21:00:00.000Z,SHORT,102.2681272983551,100.14,105.894647,95.015088,91.388568,85.948789,2.0809,0.5868,TIMEOUT,CO_THE_VAO,9.48,5.63,9.48,3.85,CLEAR,2,2.8125,2.5,4.1667,2,TRENDING,0,2,1,1.5,0,2,1,0,1,2,1,2,1,1
SOLUSDT,1770519600000,1770537600000,2026-02-08T03:00:00.000Z,2026-02-08T08:00:00.000Z,SHORT,86.42898390231863,88.592387,88.592387,82.102178,79.938775,76.69367,-2.5031,-1,SL,SETUP_NGON,11.56,7.4,11.56,4.16,CLEAR,2,4.375,2.1875,5,2,RANGING,10,1.5,2,1.5,2,2,0,0.5,1,2,2,2,1,0
SOLUSDT,1770624000000,1770638400000,2026-02-09T08:00:00.000Z,2026-02-09T12:00:00.000Z,SHORT,86.45091569423676,84.01,89.496272,80.360203,77.314847,72.746812,2.8235,0.8015,TIMEOUT,VAO_TU_TIN,10.83,6.35,10.83,4.48,CLEAR,2,3.4375,2.8125,4.5833,2,TRENDING,15,2,2,1.5,0,2,1,0.5,1,2,1.5,2,1,1
SOLUSDT,1770642000000,1770656400000,2026-02-09T13:00:00.000Z,2026-02-09T17:00:00.000Z,SHORT,85.29450726509094,87.51885,87.51885,80.845822,78.621479,75.284965,-2.6078,-1,SL,VAO_TU_TIN,11.15,5.73,11.15,5.42,CLEAR,2,4.375,2.1875,4.5833,2,TRENDING,20,2,2,1,2,2,0,0.5,1,2,1.5,2,1,0
SOLUSDT,1770703200000,1770717600000,2026-02-10T06:00:00.000Z,2026-02-10T10:00:00.000Z,SHORT,85.97133619785309,84.16,89.463329,78.987351,75.495358,70.257369,2.1069,0.5187,TIMEOUT,VAO_TU_TIN,10.1,6.25,10.1,3.85,CLEAR,2,3.4375,2.5,4.1667,2,RANGING,13,2,2,1.5,0,2,0.5,0.5,1,2,1,2,1,1
SOLUSDT,1770721200000,1770735600000,2026-02-10T11:00:00.000Z,2026-02-10T15:00:00.000Z,SHORT,85.2413583278656,84.24,87.634154,80.455767,78.062971,74.473778,1.1747,0.4185,TIMEOUT,VAO_TU_TIN,10.21,5.73,10.21,4.48,CLEAR,2,3.4375,2.1875,4.5833,2,RANGING,18,2,2,1.5,0,2,0,0.5,1,2,1.5,2,1,1
SOLUSDT,1770739200000,1770753600000,2026-02-10T16:00:00.000Z,2026-02-10T20:00:00.000Z,SHORT,84.7256920337677,82.6,87.228965,79.719146,77.215873,73.460964,2.5089,0.8492,TIMEOUT,VAO_TU_TIN,10.42,7.5,10.42,2.92,CLEAR,2,3.75,2.5,4.1667,2,RANGING,23,2,2,1,1,2,0.5,0.5,1,1,2,2,1,1
SOLUSDT,1770782400000,1770796800000,2026-02-11T04:00:00.000Z,2026-02-11T08:00:00.000Z,SHORT,83.39020891189575,81.04,85.823443,78.523741,76.090507,72.440656,2.8183,0.9659,TIMEOUT,VAO_TU_TIN,10.63,5.52,10.63,5.11,CLEAR,2,2.8125,2.8125,5,2,RANGING,11,2,1,1.5,0,2,0.5,1,1,2,2,2,1,1
SOLUSDT,1770800400000,1770814800000,2026-02-11T09:00:00.000Z,2026-02-11T13:00:00.000Z,SHORT,82.39463455677033,81.61,84.73047,77.722964,75.387128,71.883375,0.9523,0.3359,TIMEOUT,CO_THE_VAO,9.48,5.1,9.48,4.38,CLEAR,2,3.125,2.1875,4.1667,2,TRENDING,16,2,1,2,0,2,0,0.5,1,1.5,1.5,2,1,1
SOLUSDT,1770818400000,1770832800000,2026-02-11T14:00:00.000Z,2026-02-11T18:00:00.000Z,SHORT,81.69257228374481,79.76,84.238904,76.599909,74.053577,70.23408,2.3657,0.759,TIMEOUT,VAO_TU_TIN,10.94,5.52,10.94,5.42,CLEAR,2,3.125,2.8125,5,2,RANGING,21,2,1,2,0,2,1,0.5,1,2,2,2,1,1
SOLUSDT,1770915600000,1770930000000,2026-02-12T17:00:00.000Z,2026-02-12T21:00:00.000Z,SHORT,80.1442307472229,77.29,82.706739,75.019214,72.456706,68.612944,3.5614,1.1138,TIMEOUT,CO_THE_VAO,9.79,5,9.79,4.79,CLEAR,2,3.125,2.5,4.1667,2,TRENDING,0,2,1,2,0,2,1,0,1,2,1,2,1,1
SOLUSDT,1770944400000,1770973200000,2026-02-13T01:00:00.000Z,2026-02-13T09:00:00.000Z,SHORT,78.77298114299774,79.82,80.275283,75.768377,74.266076,72.012623,-1.3292,-0.6969,TIMEOUT,SETUP_NGON,11.67,6.56,11.67,5.11,CLEAR,2,5,2.5,4.1667,2,TRENDING,8,2,2,2,2,2,0,1,1,1,2,2,1,0
SOLUSDT,1771117200000,1771131600000,2026-02-15T01:00:00.000Z,2026-02-15T05:00:00.000Z,LONG,87.28748495578766,89.61,85.639919,90.582617,92.230183,94.701532,2.6608,1.4097,TIMEOUT,VAO_TU_TIN,10.21,10.21,5.52,4.69,CLEAR,2,2.5,3.125,4.5833,2,RANGING,8,2,1,1,0,2,0,2,1,1.5,2,2,1,1
SOLUSDT,1771135200000,1771149600000,2026-02-15T06:00:00.000Z,2026-02-15T10:00:00.000Z,LONG,88.03832942247391,89.47,85.328034,93.45892,96.169216,100.234659,1.6262,0.5282,TIMEOUT,CO_THE_VAO,9.79,9.79,3.75,6.04,CLEAR,2,2.5,3.125,4.1667,2,RANGING,13,2,1,1,0,2,0,2,1,2,1,2,1,1
SOLUSDT,1771153200000,1771167600000,2026-02-15T11:00:00.000Z,2026-02-15T15:00:00.000Z,LONG,88.78740689754486,87.36,86.422112,93.517997,95.883292,99.431234,-1.6077,-0.6035,TIMEOUT,VAO_TU_TIN,10,10,8.65,1.35,CLEAR,2,3.75,2.5,3.75,2,RANGING,18,2,2,1,1,2,0,1,1,1,1.5,2,1,0
SOLUSDT,1771171200000,1771200000000,2026-02-15T16:00:00.000Z,2026-02-16T00:00:00.000Z,SHORT,87.84211239814758,86.12,89.887262,83.751813,81.706664,78.638939,1.9605,0.842,TIMEOUT,VAO_TU_TIN,11.15,6.46,11.15,4.69,CLEAR,2,3.9583,2.1875,5,2,TRENDING,23,1.3333333333333333,2,1,2,1,0,1.5,1,2,2,2,1,1
SOLUSDT,1771207200000,1771236000000,2026-02-16T02:00:00.000Z,2026-02-16T10:00:00.000Z,SHORT,86.47332715988159,85.69,88.896199,81.627583,79.204712,75.570404,0.9059,0.3233,TIMEOUT,VAO_TU_TIN,11.25,6.46,11.25,4.79,CLEAR,2,3.75,2.5,5,2,RANGING,9,2,2,2,0,2,0,1,1,2,2,2,1,1
SOLUSDT,1771250400000,1771264800000,2026-02-16T14:00:00.000Z,2026-02-16T18:00:00.000Z,SHORT,85.3563451051712,84.47,87.888743,80.291549,77.921,73.960555,1.0384,0.35,TIMEOUT,VAO_TU_TIN,10.83,5.83,10.83,5,CLEAR,2,3.75,2.5,4.5833,2,RANGING,21,2,2,2,0,1,1,1,1,1.5,2,2,1,1
SOLUSDT,1771293600000,1771308000000,2026-02-17T02:00:00.000Z,2026-02-17T06:00:00.000Z,LONG,85.88574955463409,86.44,83.876558,89.904133,91.913324,94.927112,0.6453,0.2759,TIMEOUT,VAO_TU_TIN,10.63,10.63,5.83,4.8,CLEAR,2,3.125,2.5,5,2,TRENDING,9,2,2,1,0,2,0,1,1,2,2,2,1,1
SOLUSDT,1771329600000,1771344000000,2026-02-17T12:00:00.000Z,2026-02-17T16:00:00.000Z,SHORT,85.45030541419983,84.13,87.57588,81.199156,79.073582,75.88522,1.5451,0.6212,TIMEOUT,VAO_TU_TIN,10.1,5.73,10.1,4.37,CLEAR,2,3.75,2.1875,4.1667,2,RANGING,19,2,2,2,0,2,0.5,0,1,1.5,1.5,2,1,1
