symbol,entryTime,exitTime,entryIso,exitIso,side,entryPrice,exitPrice,sl,tp1,tp2,tp3,pnlPct,resultR,exitReason,decision,score,groupA,groupB,groupC,primaryRR,marketMode,hourVn,l1,l2,l3,l4,l5a,l5b,l6,l7,l8,l9,l10,tradePlanValid,win
NEARUSDT,1754154000000,1754168400000,2025-08-02T17:00:00.000Z,2025-08-02T21:00:00.000Z,SHORT,2.39239004701376,2.346,2.468665,2.23984,2.163565,2.049153,1.9391,0.6082,TIMEOUT,VAO_TU_TIN,10.42,3.125,3.125,4.1667,2,TRENDING,0,2,1,2,0,2,0.5,1.5,1,2,1,2,1,1
NEARUSDT,1754366400000,1754395200000,2025-08-05T04:00:00.000Z,2025-08-05T12:00:00.000Z,SHORT,2.509213423728943,2.505,2.563798,2.400044,2.35,2.263583,0.1679,0.0772,TIMEOUT,VAO_TU_TIN,11.04,3.6458,2.8125,4.5833,2,RANGING,11,1.3333333333333333,2,1.5,1,2,0,1.5,1,1.5,2,2,1,1
NEARUSDT,1754910000000,1754924400000,2025-08-11T11:00:00.000Z,2025-08-11T15:00:00.000Z,SHORT,2.7441146790981295,2.682,2.828094,2.576156,2.492177,2.366208,2.2636,0.7396,TIMEOUT,CO_THE_VAO,9.58,3.125,3.125,3.3333,2,TRENDING,18,2,1,2,0,2,1,1,1,0.5,1.5,2,1,1
NEARUSDT,1754928000000,1754946000000,2025-08-11T16:00:00.000Z,2025-08-11T21:00:00.000Z,SHORT,2.713792918622494,2.606137,2.767621,2.606137,2.552309,2.471567,3.967,2,TP,SETUP_NGON,12.19,5,3.4375,3.75,2,TRENDING,23,2,2,2,2,2,1,1.5,1,0.5,2,2,1,1
NEARUSDT,1754960400000,1754974800000,2025-08-12T01:00:00.000Z,2025-08-12T05:00:00.000Z,SHORT,2.6558444045484064,2.605,2.736034,2.495465,2.415276,2.294991,1.9144,0.6341,TIMEOUT,VAO_TU_TIN,10.83,3.75,2.5,4.5833,2,RANGING,8,2,2,2,0,2,0,1,1,1.5,2,2,1,1
NEARUSDT,1755176400000,1755205200000,2025-08-14T13:00:00.000Z,2025-08-14T21:00:00.000Z,SHORT,2.926470343768597,2.717,3.045755,2.687901,2.565,2.389689,7.1578,1.7561,TIMEOUT,VAO_TU_TIN,11.04,3.0208,3.4375,4.5833,2,TRENDING,20,1.3333333333333333,2,1.5,0,2,1,1.5,1,2,1.5,2,1,1
NEARUSDT,1755219600000,1755234000000,2025-08-15T01:00:00.000Z,2025-08-15T05:00:00.000Z,SHORT,2.8063100457191466,2.787,2.922918,2.565,2.456486,2.281574,0.6881,0.1656,TIMEOUT,VAO_TU_TIN,10.63,3.9583,2.5,4.1667,2.07,RANGING,8,1.3333333333333333,2,2,1,2,0,1,1,1,2,2,1,1
NEARUSDT,1755262800000,1755277200000,2025-08-15T13:00:00.000Z,2025-08-15T17:00:00.000Z,SHORT,2.7793195895850658,2.694,2.881063,2.565,2.474089,2.321474,3.0698,0.8386,TIMEOUT,VAO_TU_TIN,10.52,3.4375,2.5,4.5833,2.11,RANGING,20,2,2,1.5,0,2,1,0,1,2,1.5,2,1,1
NEARUSDT,1755522000000,1755536400000,2025-08-18T13:00:00.000Z,2025-08-18T17:00:00.000Z,SHORT,2.6149013563990593,2.586,2.712665,2.419374,2.32161,2.174965,1.1053,0.2956,TIMEOUT,CO_THE_VAO,9.9,3.125,2.1875,4.5833,2,RANGING,20,2,1,2,0,2,0.5,0,1,2,1.5,2,1,1
NEARUSDT,1755576000000,1755590400000,2025-08-19T04:00:00.000Z,2025-08-19T08:00:00.000Z,SHORT,2.5665754839777946,2.507,2.671185,2.357356,2.252747,2.095833,2.3212,0.5695,TIMEOUT,CO_THE_VAO,9.48,3.125,2.1875,4.1667,2,RANGING,11,2,1,2,0,2,0.5,0,1,1,2,2,1,1
NEARUSDT,1755615600000,1755630000000,2025-08-19T15:00:00.000Z,2025-08-19T19:00:00.000Z,SHORT,2.5243347361683846,2.449,2.63473,2.303544,2.193149,2.027556,2.9843,0.6824,TIMEOUT,CO_THE_VAO,9.9,3.125,2.1875,4.5833,2,RANGING,22,2,1,2,0,2,0.5,0,1,1.5,2,2,1,1
NEARUSDT,1755651600000,1755680400000,2025-08-20T01:00:00.000Z,2025-08-20T09:00:00.000Z,SHORT,2.471785753965378,2.47,2.516244,2.382869,2.338411,2.271724,0.0722,0.0402,TIMEOUT,SETUP_NGON,12.08,4.375,3.125,4.5833,2,TRENDING,8,2,1,2,2,2,0.5,1.5,1,1.5,2,2,1,1
NEARUSDT,1755759600000,1755774000000,2025-08-21T07:00:00.000Z,2025-08-21T11:00:00.000Z,SHORT,2.514425584557915,2.48,2.583825,2.375627,2.306227,2.202128,1.3691,0.4961,TIMEOUT,VAO_TU_TIN,10.42,4.2708,2.8125,3.3333,2,RANGING,14,1.3333333333333333,2,1.5,2,2,0,1.5,1,1,1,2,1,1
NEARUSDT,1755777600000,1755792000000,2025-08-21T12:00:00.000Z,2025-08-21T16:00:00.000Z,SHORT,2.5020971700549124,2.439,2.577755,2.350782,2.275124,2.161637,2.5218,0.834,TIMEOUT,VAO_TU_TIN,10.73,3.4375,3.125,4.1667,2,RANGING,19,2,2,1.5,0,2,0.5,1.5,1,1.5,1.5,2,1,1
NEARUSDT,1755860400000,1755871200000,2025-08-22T11:00:00.000Z,2025-08-22T14:00:00.000Z,SHORT,2.445300129801035,2.509365,2.509365,2.31717,2.253106,2.157008,-2.6199,-1,SL,VAO_TU_TIN,10.83,2.8125,3.4375,4.5833,2,RANGING,18,2,1,1.5,0,2,1,1.5,1,2,1.5,2,1,0
NEARUSDT,1756015200000,1756029600000,2025-08-24T06:00:00.000Z,2025-08-24T10:00:00.000Z,SHORT,2.669166161119938,2.586,2.724206,2.559086,2.504047,2.412,3.1158,1.511,TIMEOUT,VAO_TU_TIN,10.63,3.0208,3.4375,4.1667,2,RANGING,13,1.3333333333333333,2,1.5,0,2,1,1.5,1,2,1,2,1,1
NEARUSDT,1756033200000,1756047600000,2025-08-24T11:00:00.000Z,2025-08-24T15:00:00.000Z,SHORT,2.6444433823227884,2.631,2.691175,2.542,2.504249,2.434151,0.5084,0.2877,TIMEOUT,VAO_TU_TIN,10.52,2.8125,3.125,4.5833,2.19,TRENDING,18,2,1,1.5,0,2,0.5,1.5,1,2,1.5,2,1,1
NEARUSDT,1756083600000,1756112400000,2025-08-25T01:00:00.000Z,2025-08-25T09:00:00.000Z,SHORT,2.643102691728383,2.524,2.744223,2.440862,2.339742,2.188061,4.5062,1.1778,TIMEOUT,VAO_TU_TIN,11.04,4.0625,2.8125,4.1667,2,RANGING,8,1,2,1.5,2,2,0,1.5,1,1,2,2,1,1
NEARUSDT,1756116000000,1756130400000,2025-08-25T10:00:00.000Z,2025-08-25T14:00:00.000Z,SHORT,2.588438182324171,2.504,2.666978,2.431359,2.352819,2.235009,3.2621,1.0751,TIMEOUT,VAO_TU_TIN,10.83,3.125,3.125,4.5833,2,TRENDING,17,2,1,2,0,2,1,1,1,2,1.5,2,1,1
NEARUSDT,1756134000000,1756148400000,2025-08-25T15:00:00.000Z,2025-08-25T19:00:00.000Z,SHORT,2.551309387385845,2.426,2.638379,2.368,2.290101,2.159496,4.9116,1.4392,TIMEOUT,VAO_TU_TIN,10.21,3.125,2.5,4.5833,2.11,RANGING,22,2,1,2,0,2,0,1,1,1.5,2,2,1,1
NEARUSDT,1756342800000,1756357200000,2025-08-28T01:00:00.000Z,2025-08-28T05:00:00.000Z,SHORT,2.5154411315187817,2.514,2.586258,2.368,2.302991,2.196765,0.0573,0.0204,TIMEOUT,VAO_TU_TIN,10.42,3.4375,2.8125,4.1667,2.08,RANGING,8,1,2,1.5,1,2,0,1.5,1,1,2,2,1,1
NEARUSDT,1756443600000,1756458000000,2025-08-29T05:00:00.000Z,2025-08-29T09:00:00.000Z,SHORT,2.510015530511737,2.424,2.573545,2.382957,2.319427,2.224133,3.4269,1.3539,TIMEOUT,VAO_TU_TIN,10.73,3.75,2.8125,4.1667,2,RANGING,12,2,2,2,0,2,0,1.5,1,2,1,2,1,1
NEARUSDT,1756461600000,1756490400000,2025-08-29T10:00:00.000Z,2025-08-29T18:00:00.000Z,SHORT,2.477671294659376,2.392634,2.52019,2.392634,2.347,2.286337,3.4321,2,TP,SETUP_NGON,11.98,5,2.8125,4.1667,2,TRENDING,17,2,2,2,2,2,0,1.5,1,1.5,1.5,2,1,1
NEARUSDT,1756688400000,1756692000000,2025-09-01T01:00:00.000Z,2025-09-01T02:00:00.000Z,SHORT,2.4072492558509113,2.33038,2.445684,2.33038,2.291945,2.234293,3.1932,2,TP,VAO_TU_TIN,10.21,3.125,2.5,4.5833,2,TRENDING,8,2,1,2,0,2,1,0,1,1.5,2,2,1,1
NEARUSDT,1756774800000,1756803600000,2025-09-02T01:00:00.000Z,2025-09-02T09:00:00.000Z,SHORT,2.3443662001450765,2.374,2.398796,2.235507,2.181077,2.099432,-1.264,-0.5444,TIMEOUT,VAO_TU_TIN,11.15,5,2.8125,3.3333,2,TRENDING,8,2,2,2,2,2,0,1.5,1,0,2,2,1,0
NEARUSDT,1756958400000,1756972800000,2025-09-04T04:00:00.000Z,2025-09-04T08:00:00.000Z,SHORT,2.4538906693458555,2.405,2.495932,2.369808,2.319,2.277,1.9924,1.1629,TIMEOUT,VAO_TU_TIN,10.83,3.0208,2.8125,5,2,RANGING,11,1.3333333333333333,2,1.5,0,2,0,1.5,1,2,2,2,1,1
NEARUSDT,1756998000000,1757026800000,2025-09-04T15:00:00.000Z,2025-09-04T23:00:00.000Z,SHORT,2.4164188776165245,2.374,2.459051,2.331155,2.288523,2.224574,1.7554,0.995,TIMEOUT,VAO_TU_TIN,11.25,2.8125,3.4375,5,2,TRENDING,22,2,1,1.5,0,2,1,1.5,1,2,2,2,1,1
NEARUSDT,1757034000000,1757048400000,2025-09-05T01:00:00.000Z,2025-09-05T05:00:00.000Z,SHORT,2.386537552252412,2.392,2.4318,2.296013,2.25075,2.182857,-0.2289,-0.1207,TIMEOUT,VAO_TU_TIN,10.73,4.0625,2.5,4.1667,2,RANGING,8,2,2,1.5,1,2,0,1,1,1,2,2,1,0
NEARUSDT,1757120400000,1757149200000,2025-09-06T01:00:00.000Z,2025-09-06T09:00:00.000Z,SHORT,2.3962456539943813,2.377,2.459754,2.269229,2.205721,2.110458,0.8032,0.303,TIMEOUT,VAO_TU_TIN,11.46,4.0625,2.8125,4.5833,2,RANGING,8,1.5,2,2,1,2,0,1.5,1,1.5,2,2,1,1
NEARUSDT,1757379600000,1757390400000,2025-09-09T01:00:00.000Z,2025-09-09T04:00:00.000Z,LONG,2.5553197737783195,2.625395,2.520282,2.625395,2.660433,2.71299,2.7423,2,TP,SETUP_NGON,11.77,4.375,2.8125,4.5833,2,TRENDING,8,2,1,2,2,2,1,0.5,1,1.5,2,2,1,1
NEARUSDT,1757394000000,1757408400000,2025-09-09T05:00:00.000Z,2025-09-09T09:00:00.000Z,LONG,2.585186494141817,2.714555,2.520502,2.714555,2.77924,2.876267,5.0042,2,TP,CO_THE_VAO,9.48,2.5,2.8125,4.1667,2,TRENDING,12,2,0,2,0,2,1,0.5,1,2,1,2,1,1
NEARUSDT,1757412000000,1757426400000,2025-09-09T10:00:00.000Z,2025-09-09T14:00:00.000Z,LONG,2.6413516007363795,2.665,2.569614,2.784827,2.856564,2.964171,0.8953,0.3297,TIMEOUT,CO_THE_VAO,9.48,2.5,2.8125,4.1667,2,TRENDING,17,2,0,2,0,2,1,0.5,1,1.5,1.5,2,1,1
NEARUSDT,1757430000000,1757444400000,2025-09-09T15:00:00.000Z,2025-09-09T19:00:00.000Z,SHORT,2.668632,2.653,2.747638,2.51062,2.431614,2.313105,0.5858,0.1979,TIMEOUT,VAO_TU_TIN,10,2.8125,2.1875,5,2,RANGING,22,0,1,1.5,2,1,0,1.5,1,2,2,2,1,1
NEARUSDT,1757520000000,1757534400000,2025-09-10T16:00:00.000Z,2025-09-10T20:00:00.000Z,LONG,2.6805477060377596,2.685,2.607221,2.827201,2.900528,3.010518,0.1661,0.0607,TIMEOUT,VAO_TU_TIN,10.83,3.75,2.5,4.5833,2,RANGING,23,2,2,2,0,2,0.5,0.5,1,1.5,2,2,1,1
NEARUSDT,1757570400000,1757584800000,2025-09-11T06:00:00.000Z,2025-09-11T10:00:00.000Z,LONG,2.7150482166558505,2.719,2.6432,2.858745,2.930593,3.038365,0.1456,0.055,TIMEOUT,CO_THE_VAO,9.06,3.125,2.1875,3.75,2,RANGING,13,2,1,2,0,2,0,0.5,1,1.5,1,2,1,1
NEARUSDT,1757926800000,1757941200000,2025-09-15T09:00:00.000Z,2025-09-15T13:00:00.000Z,SHORT,2.6944487750530244,2.629,2.781678,2.51999,2.432761,2.301917,2.429,0.7503,TIMEOUT,VAO_TU_TIN,10.42,3.125,3.125,4.1667,2,TRENDING,16,2,1,2,0,2,1,1,1,1.5,1.5,2,1,1
NEARUSDT,1757944800000,1757973600000,2025-09-15T14:00:00.000Z,2025-09-15T22:00:00.000Z,SHORT,2.6629941314458847,2.622,2.727071,2.53484,2.470764,2.374648,1.5394,0.6398,TIMEOUT,VAO_TU_TIN,11.46,4.375,2.5,4.5833,2,TRENDING,21,2,1,2,2,2,0,1,1,1.5,2,2,1,1
NEARUSDT,1758358800000,1758373200000,2025-09-20T09:00:00.000Z,2025-09-20T13:00:00.000Z,SHORT,3.1193157382309438,3.109,3.218593,2.920761,2.821484,2.672,0.3307,0.1039,TIMEOUT,VAO_TU_TIN,10.1,3.125,2.8125,4.1667,2,RANGING,16,1,1,2,1,2,0,1.5,1,1.5,1.5,2,1,1
NEARUSDT,1758452400000,1758466800000,2025-09-21T11:00:00.000Z,2025-09-21T15:00:00.000Z,SHORT,3.1205192640423776,3.1,3.215836,2.928259,2.834569,2.691594,0.6576,0.2153,TIMEOUT,CO_THE_VAO,9.69,2.7083,2.8125,4.1667,2.02,RANGING,18,1.3333333333333333,1,2,0,2,0,1.5,1,1.5,1.5,2,1,1
NEARUSDT,1758470400000,1758484800000,2025-09-21T16:00:00.000Z,2025-09-21T20:00:00.000Z,SHORT,3.1095260374248026,3.131,3.170177,2.988224,2.927573,2.836597,-0.6906,-0.3541,TIMEOUT,VAO_TU_TIN,10.52,2.7083,2.8125,5,2,RANGING,23,1.3333333333333333,1,2,0,2,0.5,1,1,2,2,2,1,0
NEARUSDT,1758502800000,1758517200000,2025-09-22T01:00:00.000Z,2025-09-22T05:00:00.000Z,SHORT,3.1026904083788396,2.908827,3.199622,2.908827,2.811896,2.672,6.2482,2,TP,VAO_TU_TIN,11.46,3.3333,3.125,5,2,RANGING,8,1.3333333333333333,2,2,0,2,1,1,1,2,2,2,1,1
NEARUSDT,1758520800000,1758535200000,2025-09-22T06:00:00.000Z,2025-09-22T10:00:00.000Z,SHORT,2.89225,2.904,3.022583,2.631584,2.501251,2.305752,-0.4063,-0.0902,TIMEOUT,CO_THE_VAO,9.79,2.5,3.125,4.1667,2,TRENDING,13,2,0,2,0,2,1,1,1,2,1,2,1,0
NEARUSDT,1758538800000,1758567600000,2025-09-22T11:00:00.000Z,2025-09-22T19:00:00.000Z,SHORT,2.9588227018713953,2.856,3.058378,2.759712,2.648,2.510824,3.4751,1.0328,TIMEOUT,VAO_TU_TIN,11.04,4.375,2.5,4.1667,2,TRENDING,18,2,1,2,2,2,0,1,1,1.5,1.5,2,1,1
NEARUSDT,1758762000000,1758776400000,2025-09-25T01:00:00.000Z,2025-09-25T05:00:00.000Z,SHORT,3.0168076448142527,2.889,3.145346,2.759731,2.631193,2.438385,4.2365,0.9943,TIMEOUT,VAO_TU_TIN,10.73,3.4375,3.125,4.1667,2,RANGING,8,2,2,1.5,0,2,0.5,1.5,1,1,2,2,1,1
NEARUSDT,1758780000000,1758794400000,2025-09-25T06:00:00.000Z,2025-09-25T10:00:00.000Z,SHORT,2.966261134296656,2.859,3.053907,2.790969,2.703324,2.571855,3.616,1.2238,TIMEOUT,VAO_TU_TIN,10.42,3.125,3.125,4.1667,2,TRENDING,13,2,1,2,0,2,0.5,1.5,1,2,1,2,1,1
NEARUSDT,1758798000000,1758826800000,2025-09-25T11:00:00.000Z,2025-09-25T19:00:00.000Z,SHORT,2.9195872135460377,2.815,3.000257,2.758248,2.677578,2.556573,3.5823,1.2965,TIMEOUT,VAO_TU_TIN,11.15,4.375,2.1875,4.5833,2,TRENDING,18,2,1,2,2,2,0.5,0,1,2,1.5,2,1,1
NEARUSDT,1758848400000,1758862800000,2025-09-26T01:00:00.000Z,2025-09-26T05:00:00.000Z,SHORT,2.809052847325802,2.683,2.92378,2.579599,2.464871,2.292781,4.4874,1.0987,TIMEOUT,VAO_TU_TIN,10.52,3.125,2.8125,4.5833,2,RANGING,8,2,1,2,0,2,0,1.5,1,1.5,2,2,1,1
NEARUSDT,1758866400000,1758880800000,2025-09-26T06:00:00.000Z,2025-09-26T10:00:00.000Z,SHORT,2.766364447772503,2.664,2.856466,2.586161,2.49606,2.360907,3.7003,1.1361,TIMEOUT,VAO_TU_TIN,10.31,3.125,3.4375,3.75,2,TRENDING,13,2,1,2,0,2,1,1.5,1,1.5,1,2,1,1
NEARUSDT,1758884400000,1758898800000,2025-09-26T11:00:00.000Z,2025-09-26T15:00:00.000Z,SHORT,2.72914275303483,2.735,2.854315,2.478798,2.353626,2.165868,-0.2146,-0.0468,TIMEOUT,CO_THE_VAO,9.79,3.125,2.5,4.1667,2,RANGING,18,2,1,2,0,2,0,1,1,1.5,1.5,2,1,0
NEARUSDT,1758963600000,1758978000000,2025-09-27T09:00:00.000Z,2025-09-27T13:00:00.000Z,SHORT,2.7287059165537357,2.718,2.798548,2.589022,2.51918,2.414417,0.3923,0.1533,TIMEOUT,VAO_TU_TIN,10.73,3.75,2.8125,4.1667,2,RANGING,16,2,2,2,0,2,0,1.5,1,1.5,1.5,2,1,1
NEARUSDT,1759039200000,1759053600000,2025-09-28T06:00:00.000Z,2025-09-28T10:00:00.000Z,SHORT,2.6988593760877846,2.67,2.754478,2.587622,2.532004,2.448576,1.0693,0.5189,TIMEOUT,VAO_TU_TIN,10.63,3.4375,3.4375,3.75,2,RANGING,13,2,2,1.5,0,2,1,1.5,1,1.5,1,2,1,1
NEARUSDT,1759240800000,1759255200000,2025-09-30T14:00:00.000Z,2025-09-30T18:00:00.000Z,SHORT,2.6772985756397247,2.576,2.735848,2.5602,2.50165,2.413826,3.7836,1.7301,TIMEOUT,VAO_TU_TIN,10.83,3.125,3.125,4.5833,2,TRENDING,21,2,1,2,0,2,1,1,1,1.5,2,2,1,1
NEARUSDT,1759590000000,1759618800000,2025-10-04T15:00:00.000Z,2025-10-04T23:00:00.000Z,SHORT,2.949379801750183,2.958,3.004085,2.839969,2.785264,2.691,-0.2923,-0.1576,TIMEOUT,VAO_TU_TIN,11.15,2.7083,3.4375,5,2,TRENDING,22,1.3333333333333333,1,2,0,2,1,1.5,1,2,2,2,1,0
NEARUSDT,1759726800000,1759741200000,2025-10-06T05:00:00.000Z,2025-10-06T09:00:00.000Z,SHORT,2.9701020188629625,2.958,3.092705,2.724896,2.602293,2.418389,0.4075,0.0987,TIMEOUT,CO_THE_VAO,9.58,3.3333,2.5,3.75,2,RANGING,12,1.3333333333333333,2,2,0,2,0,1,1,1.5,1,2,1,1
NEARUSDT,1759845600000,1759874400000,2025-10-07T14:00:00.000Z,2025-10-07T22:00:00.000Z,SHORT,3.0066906452178954,2.954,3.093844,2.821,2.745231,2.614501,1.7524,0.6046,TIMEOUT,SETUP_NGON,12.19,3.75,3.4375,5,2.13,TRENDING,21,2,2,2,0,2,1,1.5,1,2,2,2,1,1
NEARUSDT,1759899600000,1759914000000,2025-10-08T05:00:00.000Z,2025-10-08T09:00:00.000Z,SHORT,2.9544634938240053,2.954,3.055334,2.752722,2.651852,2.500546,0.0157,0.0046,TIMEOUT,VAO_TU_TIN,10.31,3.3333,2.8125,4.1667,2,RANGING,12,1.3333333333333333,2,2,0,2,0,1.5,1,2,1,2,1,1
NEARUSDT,1759975200000,1760004000000,2025-10-09T02:00:00.000Z,2025-10-09T10:00:00.000Z,SHORT,2.9424707725644113,2.859,2.997985,2.821,2.775928,2.692657,2.8368,1.5036,TIMEOUT,SETUP_NGON,12.19,3.75,3.4375,5,2.19,TRENDING,9,2,2,2,0,2,1,1.5,1,2,2,2,1,1
NEARUSDT,1760014800000,1760043600000,2025-10-09T13:00:00.000Z,2025-10-09T21:00:00.000Z,SHORT,2.896624802052975,2.87,2.953186,2.783502,2.726941,2.642099,0.9192,0.4707,TIMEOUT,SETUP_NGON,11.77,5,2.1875,4.5833,2,TRENDING,20,2,2,2,2,2,0.5,0,1,2,1.5,2,1,1
