symbol,entryTime,exitTime,entryIso,exitIso,side,entryPrice,exitPrice,sl,tp1,tp2,tp3,pnlPct,resultR,exitReason,decision,score,longScore,shortScore,scoreDiff,ambiguityStatus,ambiguityThreshold,groupA,groupB,groupC,primaryRR,marketMode,hourVn,l1,l2,l3,l4,l5a,l5b,l6,l7,l8,l9,l10,tradePlanValid,win
NEARUSDT,1778295600000,1778310000000,2026-05-09T03:00:00.000Z,2026-05-09T07:00:00.000Z,LONG,1.5721124995499849,1.573,1.513397,1.689543,1.748259,1.836332,0.0565,0.0151,TIMEOUT,VAO_TU_TIN,10.83,10.83,3.96,6.87,CLEAR,2.5,3.125,3.125,4.5833,2,RANGING,10,2,1,2,0,2,0,2,1,1.5,2,2,1,1
NEARUSDT,1778313600000,1778328000000,2026-05-09T08:00:00.000Z,2026-05-09T12:00:00.000Z,LONG,1.5771397441625594,1.572,1.520714,1.689991,1.746417,1.831056,-0.3259,-0.0911,TIMEOUT,VAO_TU_TIN,10.83,10.83,6.35,4.48,CLEAR,2.5,3.125,3.125,4.5833,2,RANGING,15,2,1,1,1,2,0,2,1,2,1.5,2,1,0
NEARUSDT,1778400000000,1778414400000,2026-05-10T08:00:00.000Z,2026-05-10T12:00:00.000Z,LONG,1.564037229306996,1.571,1.529767,1.632578,1.666848,1.718253,0.4452,0.2032,TIMEOUT,VAO_TU_TIN,10.52,10.52,6.04,4.48,CLEAR,2.5,3.4375,2.5,4.5833,2,RANGING,15,2,2,1.5,0,2,0.5,0.5,1,2,1.5,2,1,1
NEARUSDT,1778418000000,1778432400000,2026-05-10T13:00:00.000Z,2026-05-10T17:00:00.000Z,LONG,1.5674648137763143,1.597,1.526569,1.649256,1.690152,1.751496,1.8843,0.7222,TIMEOUT,CO_THE_VAO,9.48,9.48,6.04,3.44,CLEAR,2.5,2.8125,2.5,4.1667,2,RANGING,20,2,1,1.5,0,2,0.5,0.5,1,1.5,1.5,2,1,1
NEARUSDT,1778436000000,1778443200000,2026-05-10T18:00:00.000Z,2026-05-10T20:00:00.000Z,LONG,1.5767380442470311,1.535153,1.535153,1.659908,1.701493,1.763871,-2.6374,-1,SL,CO_THE_VAO,9.38,9.38,6.15,3.23,CLEAR,2.5,2.8125,2.8125,3.75,2,RANGING,1,2,1,1.5,0,2,1,0.5,1,1.5,1,2,1,0
NEARUSDT,1778587200000,1778594400000,2026-05-12T12:00:00.000Z,2026-05-12T14:00:00.000Z,LONG,1.5578869971114047,1.521785,1.521785,1.63,1.666193,1.720346,-2.3174,-1,SL,SETUP_NGON,11.56,11.56,8.23,3.33,CLEAR,2.5,4.0625,3.75,3.75,2,TRENDING,19,2,2,1,1.5,2,1,2,1,1,1.5,2,1,0
NEARUSDT,1778608800000,1778623200000,2026-05-12T18:00:00.000Z,2026-05-12T22:00:00.000Z,LONG,1.563870693743229,1.614,1.48791,1.715792,1.791753,1.905694,3.2055,0.6599,TIMEOUT,CO_THE_VAO,9.69,9.69,6.25,3.44,CLEAR,2.5,3.4375,3.75,2.5,2,TRENDING,1,2,2,1.5,0,2,1,2,1,0,1,2,1,1
NEARUSDT,1778634000000,1778662800000,2026-05-13T01:00:00.000Z,2026-05-13T09:00:00.000Z,LONG,1.5986218281090259,1.622,1.532055,1.731755,1.798322,1.898173,1.4624,0.3512,TIMEOUT,VAO_TU_TIN,11.04,11.04,5.42,5.62,CLEAR,2.5,3.125,3.75,4.1667,2,TRENDING,8,2,1,2,0,2,1,2,1,1,2,2,1,1
NEARUSDT,1778666400000,1778680800000,2026-05-13T10:00:00.000Z,2026-05-13T14:00:00.000Z,LONG,1.5999599999999998,1.582,1.525308,1.749264,1.823916,1.935894,-1.1225,-0.2406,TIMEOUT,VAO_TU_TIN,10.31,10.31,9.06,1.25,CLEAR,2.5,4.0625,2.5,3.75,2,RANGING,17,1,2,1.5,2,2,0,1,1,1,1.5,2,1,0
NEARUSDT,1778770800000,1778785200000,2026-05-14T15:00:00.000Z,2026-05-14T19:00:00.000Z,LONG,1.584554012864828,1.58,1.537548,1.678566,1.725572,1.796081,-0.2874,-0.0969,TIMEOUT,VAO_TU_TIN,10.94,10.94,5.83,5.11,CLEAR,2.5,3.4375,2.5,5,2,TRENDING,22,2,2,1.5,0,2,0,1,1,2,2,2,1,0
NEARUSDT,1778911200000,1778940000000,2026-05-16T06:00:00.000Z,2026-05-16T14:00:00.000Z,SHORT,1.5361895766109228,1.489,1.577823,1.452923,1.411289,1.348839,3.0719,1.1335,TIMEOUT,VAO_TU_TIN,11.04,4.38,11.04,6.66,CLEAR,2.5,3.75,3.125,4.1667,2,RANGING,13,2,2,2,0,2,0.5,1.5,1,2,1,2,1,1
NEARUSDT,1778947200000,1778961600000,2026-05-16T16:00:00.000Z,2026-05-16T20:00:00.000Z,SHORT,1.5065782442688942,1.494,1.545674,1.428387,1.389291,1.330647,0.8349,0.3217,TIMEOUT,VAO_TU_TIN,10.83,6.46,10.83,4.37,CLEAR,2.5,3.75,2.5,4.5833,2,RANGING,23,2,2,2,0,2,0,1,1,1.5,2,2,1,1
NEARUSDT,1779037200000,1779051600000,2026-05-17T17:00:00.000Z,2026-05-17T21:00:00.000Z,SHORT,1.5192963608503343,1.529,1.551903,1.454083,1.421476,1.372566,-0.6387,-0.2976,TIMEOUT,VAO_TU_TIN,10.94,7.71,10.94,3.23,CLEAR,2.5,4.375,2.8125,3.75,2,RANGING,0,1.5,2,1.5,2,2,0,1.5,1,1.5,1,2,1,0
NEARUSDT,1779087600000,1779102000000,2026-05-18T07:00:00.000Z,2026-05-18T11:00:00.000Z,SHORT,1.5068138621747493,1.519,1.548824,1.422794,1.380783,1.317768,-0.8087,-0.2901,TIMEOUT,VAO_TU_TIN,10,4.38,10,5.62,CLEAR,2.5,3.75,2.5,3.75,2,RANGING,14,2,2,2,0,2,0,1,1,1.5,1,2,1,0
NEARUSDT,1780189200000,1780203600000,2026-05-31T01:00:00.000Z,2026-05-31T05:00:00.000Z,SHORT,2.316023163497448,2.316,2.423118,2.101833,1.994739,1.834096,0.001,0.0002,TIMEOUT,CO_THE_VAO,9.27,6.15,9.27,3.12,CLEAR,2.5,3.125,2.8125,3.3333,2,TRENDING,8,2,1,2,0,2,0,1.5,1,0,2,2,1,1
NEARUSDT,1781017200000,1781035200000,2026-06-09T15:00:00.000Z,2026-06-09T20:00:00.000Z,SHORT,2.123747193813324,2.223266,2.223266,1.92471,1.825191,1.675913,-4.686,-1,SL,SETUP_NGON,11.56,6.46,11.56,5.1,CLEAR,2.5,3.4375,3.125,5,2,RANGING,22,2,2,1.5,0,2,1,1,1,2,2,2,1,0
NEARUSDT,1781143200000,1781172000000,2026-06-11T02:00:00.000Z,2026-06-11T10:00:00.000Z,SHORT,2.0170777045190333,2.018,2.117585,1.815,1.715556,1.564795,-0.0457,-0.0092,TIMEOUT,VAO_TU_TIN,11.15,6.77,11.15,4.38,CLEAR,2.5,5,2.8125,3.3333,2.01,TRENDING,9,2,2,2,2,2,0,1.5,1,0,2,2,1,0
NEARUSDT,1781326800000,1781341200000,2026-06-13T05:00:00.000Z,2026-06-13T09:00:00.000Z,SHORT,2.017975276708603,2.026,2.114491,1.824944,1.728428,1.583655,-0.3977,-0.0831,TIMEOUT,CO_THE_VAO,9.9,6.98,9.9,2.92,CLEAR,2.5,3.75,2.8125,3.3333,2,RANGING,12,2,2,2,0,2,0,1.5,1,1,1,2,1,0
NEARUSDT,1781449200000,1781463600000,2026-06-14T15:00:00.000Z,2026-06-14T19:00:00.000Z,SHORT,2.0915730625391005,2.102,2.167644,1.939431,1.86336,1.749254,-0.4985,-0.1371,TIMEOUT,VAO_TU_TIN,10.52,6.67,10.52,3.85,CLEAR,2.5,3.4375,2.5,4.5833,2,RANGING,22,2,2,1.5,0,2,0,1,1,1.5,2,2,1,0
NEARUSDT,1781629200000,1781643600000,2026-06-16T17:00:00.000Z,2026-06-16T21:00:00.000Z,SHORT,2.384892037510872,2.334,2.478634,2.197408,2.103666,1.958,2.1339,0.5429,TIMEOUT,VAO_TU_TIN,10.73,5.1,10.73,5.63,CLEAR,2.5,4.5833,2.8125,3.3333,2,TRENDING,0,1.3333333333333333,2,2,2,2,0,1.5,1,1,1,2,1,1
NEARUSDT,1781679600000,1781694000000,2026-06-17T07:00:00.000Z,2026-06-17T11:00:00.000Z,SHORT,2.3335353791713715,2.284,2.430989,2.138628,2.041175,1.894994,2.1228,0.5083,TIMEOUT,VAO_TU_TIN,10.31,6.56,10.31,3.75,CLEAR,2.5,3.9583,2.1875,4.1667,2,RANGING,14,1.3333333333333333,2,2,1,2,0.5,0,1,2,1,2,1,1
NEARUSDT,1781697600000,1781712000000,2026-06-17T12:00:00.000Z,2026-06-17T16:00:00.000Z,SHORT,2.3105489558653747,2.337,2.403232,2.125183,2.0325,1.893475,-1.1448,-0.2854,TIMEOUT,VAO_TU_TIN,10.21,9.58,10.21,0.63,CLEAR,2.5,3.9583,2.5,3.75,2,RANGING,19,1.3333333333333333,1,2,2,2,1,0,1,1,1.5,2,1,0
NEARUSDT,1781744400000,1781773200000,2026-06-18T01:00:00.000Z,2026-06-18T09:00:00.000Z,SHORT,2.26119546815753,2.234,2.327361,2.128864,2.062,1.974,1.2027,0.411,TIMEOUT,SETUP_NGON,12.4,5.21,12.4,7.19,CLEAR,2.5,5,2.8125,4.5833,2,TRENDING,8,2,2,2,2,2,0,1.5,1,1.5,2,2,1,1
NEARUSDT,1782090000000,1782104400000,2026-06-22T01:00:00.000Z,2026-06-22T05:00:00.000Z,SHORT,2.1642782293069045,2.152,2.233789,2.025257,1.955746,1.85148,0.5673,0.1766,TIMEOUT,VAO_TU_TIN,10.1,9.69,10.1,0.41,CLEAR,2.5,4.2708,2.5,3.3333,2,TRENDING,8,1.3333333333333333,2,2,1.5,2,1,0,1,0,2,2,1,1
NEARUSDT,1782151200000,1782165600000,2026-06-22T18:00:00.000Z,2026-06-22T22:00:00.000Z,SHORT,2.13864351734519,2.068,2.229717,1.956497,1.865423,1.728813,3.3032,0.7757,TIMEOUT,CO_THE_VAO,9.58,5.21,9.58,4.37,CLEAR,2.5,3.75,2.5,3.3333,2,RANGING,1,2,2,2,0,2,0,1,1,1,1,2,1,1
NEARUSDT,1782176400000,1782201600000,2026-06-23T01:00:00.000Z,2026-06-23T08:00:00.000Z,SHORT,2.104703763872385,1.975221,2.169445,1.975221,1.91048,1.813368,6.1521,2,TP,VAO_TU_TIN,11.15,5.52,11.15,5.63,CLEAR,2.5,3.125,3.4375,4.5833,2,TRENDING,8,2,1,2,0,2,1,1.5,1,1.5,2,2,1,1
NEARUSDT,1782205200000,1782219600000,2026-06-23T09:00:00.000Z,2026-06-23T13:00:00.000Z,SHORT,2.051707591116428,1.995,2.112522,1.930079,1.869264,1.778043,2.7639,0.9325,TIMEOUT,VAO_TU_TIN,10.1,3.85,10.1,6.25,CLEAR,2.5,3.125,2.8125,4.1667,2,TRENDING,16,2,1,2,0,2,0,1.5,1,1.5,1.5,2,1,1
NEARUSDT,1782223200000,1782237600000,2026-06-23T14:00:00.000Z,2026-06-23T18:00:00.000Z,SHORT,2.0275910910218955,1.976,2.095552,1.891669,1.823708,1.721767,2.5445,0.7591,TIMEOUT,VAO_TU_TIN,10.52,5.52,10.52,5,CLEAR,2.5,3.125,2.8125,4.5833,2,RANGING,21,2,1,2,0,2,0,1.5,1,1.5,2,2,1,1
NEARUSDT,1782313200000,1782316800000,2026-06-24T15:00:00.000Z,2026-06-24T16:00:00.000Z,SHORT,1.9578226633369922,1.885476,1.993996,1.885476,1.849303,1.795043,3.6953,2,TP,SETUP_NGON,11.56,4.9,11.56,6.66,CLEAR,2.5,3.125,3.4375,5,2,TRENDING,22,2,1,2,0,2,1,1.5,1,2,2,2,1,1
NEARUSDT,1782320400000,1782334800000,2026-06-24T17:00:00.000Z,2026-06-24T21:00:00.000Z,SHORT,1.9414503857493401,1.967,1.995674,1.833003,1.77878,1.697444,-1.316,-0.4712,TIMEOUT,VAO_TU_TIN,10.42,4.38,10.42,6.04,CLEAR,2.5,3.125,3.125,4.1667,2,TRENDING,0,2,1,2,0,2,1,1,1,2,1,2,1,0
NEARUSDT,1782385200000,1782392400000,2026-06-25T11:00:00.000Z,2026-06-25T13:00:00.000Z,SHORT,1.941062544286251,1.829274,1.996957,1.829274,1.773379,1.689537,5.7591,2,TP,VAO_TU_TIN,10.42,6.04,10.42,4.38,CLEAR,2.5,3.125,3.125,4.1667,2,RANGING,18,2,1,2,0,2,1,1,1,1.5,1.5,2,1,1
