# v41 decision funnel | SOLUSDT | days=180 | path=RC3 binary TR→Confidence→Decision
# finalConfidence = Confidence Engine (Decision threshold SSOT); confTR = detail.confidence
# bands vs decisionConfig thresholds: ignore/watch floor 45, long/short 75
symbol,openTime,iso,trendDirection,proposedSide,confTR,finalConfidence,decision,trendReversalConfirmed,trState,preContextState,trActive,contextApplied,contextPass,ctxBtc,ctxFunding,ctxOi,ctxWhale,ctxVolatility,ewSeverity,ewPass,momentumLong,momentumShort,momentumPass,eligible,hardBlocks,activeConditionCount,completenessMultiplier,proposedDirection,bandLt45,band45to75,bandGe75,finalPropose
SOLUSDT,1770249600000,2026-02-05T00:00:00.000Z,BEAR,LONG,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,LONG,1,0,0,0
SOLUSDT,1770253200000,2026-02-05T01:00:00.000Z,BEAR,LONG,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,LONG,1,0,0,0
SOLUSDT,1770256800000,2026-02-05T02:00:00.000Z,BEAR,LONG,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,LONG,1,0,0,0
SOLUSDT,1770260400000,2026-02-05T03:00:00.000Z,BEAR,LONG,25,13.5,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,1,0.45,LONG,1,0,0,0
SOLUSDT,1770264000000,2026-02-05T04:00:00.000Z,BEAR,LONG,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,LONG,1,0,0,0
SOLUSDT,1770267600000,2026-02-05T05:00:00.000Z,BEAR,LONG,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,LONG,1,0,0,0
SOLUSDT,1770271200000,2026-02-05T06:00:00.000Z,BEAR,LONG,12.847222222222221,12.54296875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,1,0.45,LONG,1,0,0,0
SOLUSDT,1770274800000,2026-02-05T07:00:00.000Z,BEAR,LONG,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,WARNING_SOFT,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,LONG,1,0,0,0
SOLUSDT,1770278400000,2026-02-05T08:00:00.000Z,BEAR,LONG,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,WARNING_SOFT,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,LONG,1,0,0,0
SOLUSDT,1770282000000,2026-02-05T09:00:00.000Z,NEUTRAL,NONE,0,7.875,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,WARNING_SOFT,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,0,0.45,NONE,1,0,0,0
SOLUSDT,1770285600000,2026-02-05T10:00:00.000Z,BEAR,LONG,17.5,12.909375,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,WARNING_SOFT,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,1,0.45,LONG,1,0,0,0
SOLUSDT,1770289200000,2026-02-05T11:00:00.000Z,BEAR,LONG,32.70228623910998,17.762805041329912,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,2,0.45,LONG,1,0,0,0
SOLUSDT,1770292800000,2026-02-05T12:00:00.000Z,BEAR,LONG,56.57212018898463,60.71110166778074,WATCH,1,ACTIVE,ACTIVE,1,1,1,PASS,PASS,SKIP,SKIP,PASS,CLEAR,1,0,0,0,1,,3,0.84,LONG,0,1,0,0
SOLUSDT,1770296400000,2026-02-05T13:00:00.000Z,BEAR,LONG,17.5,12.909375,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,1,0.45,LONG,1,0,0,0
SOLUSDT,1770300000000,2026-02-05T14:00:00.000Z,BEAR,LONG,40.24151628523035,18.356519407461892,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,1,0,1,0,TREND_REVERSAL_UNCONFIRMED,2,0.45,LONG,1,0,0,0
SOLUSDT,1770303600000,2026-02-05T15:00:00.000Z,BEAR,LONG,58.81944444444444,61.041458333333324,WATCH,1,ACTIVE,ACTIVE,1,1,1,PASS,PASS,SKIP,SKIP,PASS,CLEAR,1,0,0,0,1,,3,0.84,LONG,0,1,0,0
SOLUSDT,1770307200000,2026-02-05T16:00:00.000Z,BEAR,LONG,55.10435222688369,60.4953397773519,WATCH,1,ACTIVE,ACTIVE,1,1,1,PASS,PASS,SKIP,SKIP,PASS,CLEAR,1,0,0,0,1,,3,0.84,LONG,0,1,0,0
SOLUSDT,1770310800000,2026-02-05T17:00:00.000Z,BEAR,LONG,56.39005208883395,60.684337657058585,WATCH,1,ACTIVE,ACTIVE,1,1,1,PASS,PASS,SKIP,SKIP,PASS,CLEAR,1,0,0,0,1,,3,0.84,LONG,0,1,0,0
SOLUSDT,1770314400000,2026-02-05T18:00:00.000Z,BEAR,LONG,49.29084390210236,22.725403957290563,IGNORE,0,WATCH,,0,0,0,NA,NA,NA,NA,NA,CLEAR,1,0,0,0,0,TREND_REVERSAL_UNCONFIRMED,3,0.45,LONG,1,0,0,0
