active_open_time,active_iso,breakout_open_time,quarter,half,side,entry,sl,tp1,outcome,bars_held,sl_dist_pct,tp1_rr,gross_r,fee_r,net_r,net_pnl_pct
1755478800000,2025-08-18T01:00:00.000Z,1755475200000,1,H1,SHORT,186.49,192.18128861513125,177.95306707730316,TP,27,3.0518,1.5000,1.5000,0.0590,1.4410,4.3977
1756684800000,2025-09-01T00:00:00.000Z,1756681200000,1,H1,SHORT,200.35,203.25191479326074,195.99712781010888,TP,2,1.4484,1.5000,1.5000,0.1243,1.3757,1.9926
1756998000000,2025-09-04T15:00:00.000Z,1756994400000,1,H1,SHORT,203.71,207.3583479674435,198.23747804883476,SL,16,1.7910,1.5000,-1.0000,0.1005,-1.1005,-1.9710
1757325600000,2025-09-08T10:00:00.000Z,1757322000000,1,H1,LONG,215.15,207.89846358691173,226.02730461963242,TP,74,3.3705,1.5000,1.5000,0.0534,1.4466,4.8757
1757923200000,2025-09-15T08:00:00.000Z,1757919600000,1,H1,SHORT,232.01,241.80579722567703,217.31630416148442,SL,62,4.2221,1.5000,-1.0000,0.0426,-1.0426,-4.4021
1758384000000,2025-09-20T16:00:00.000Z,1758380400000,1,H1,LONG,240.29,238.3682863217199,243.17257051742013,SL,2,0.7997,1.5000,-1.0000,0.2251,-1.2251,-0.9797
1759849200000,2025-10-07T15:00:00.000Z,1759845600000,1,H1,SHORT,223.65,228.57622288181582,216.26066567727628,SL,27,2.2026,1.5000,-1.0000,0.0817,-1.0817,-2.3826
1760025600000,2025-10-09T16:00:00.000Z,1760022000000,1,H1,SHORT,217.16,222.12722456062045,209.7091631590693,SL,11,2.2874,1.5000,-1.0000,0.0787,-1.0787,-2.4674
1761483600000,2025-10-26T13:00:00.000Z,1761480000000,1,H1,LONG,198.96,196.43595771415795,202.74606342876308,TP,11,1.2686,1.5000,1.5000,0.1419,1.3581,1.7229
1762444800000,2025-11-06T16:00:00.000Z,1762441200000,1,H1,SHORT,155.33,159.39869615252073,149.22695577121894,SL,25,2.6194,1.5000,-1.0000,0.0687,-1.0687,-2.7994
1764180000000,2025-11-26T18:00:00.000Z,1764176400000,2,H1,LONG,144.59,138.77934255419913,153.3059861687013,SL,31,4.0187,1.5000,-1.0000,0.0448,-1.0448,-4.1987
1764439200000,2025-11-29T18:00:00.000Z,1764435600000,2,H1,SHORT,135.61,137.21844109669095,133.19733835496362,SL,18,1.1861,1.5000,-1.0000,0.1518,-1.1518,-1.3661
1764874800000,2025-12-04T19:00:00.000Z,1764871200000,2,H1,SHORT,139.6,142.68828931978692,134.96756602031962,TP,19,2.2122,1.5000,1.5000,0.0814,1.4186,3.1384
1764943200000,2025-12-05T14:00:00.000Z,1764939600000,2,H1,SHORT,134.67,137.5267544698372,130.3848682952442,TP,48,2.1213,1.5000,1.5000,0.0849,1.4151,3.0019
1766498400000,2025-12-23T14:00:00.000Z,1766494800000,2,H1,SHORT,122.6,124.6309026011012,119.5536460983482,SL,2,1.6565,1.5000,-1.0000,0.1087,-1.1087,-1.8365
1766966400000,2025-12-29T00:00:00.000Z,1766962800000,2,H1,LONG,126.96,124.26597472278034,131.00103791582947,SL,12,2.1219,1.5000,-1.0000,0.0848,-1.0848,-2.3019
1767308400000,2026-01-01T23:00:00.000Z,1767304800000,2,H1,LONG,126.83,125.26532904512828,129.17700643230756,TP,10,1.2337,1.5000,1.5000,0.1459,1.3541,1.6705
1768892400000,2026-01-20T07:00:00.000Z,1768888800000,2,H1,SHORT,130.56,133.3435798335778,126.38463024963332,TP,9,2.1320,1.5000,1.5000,0.0844,1.4156,3.0180
1769176800000,2026-01-23T14:00:00.000Z,1769173200000,2,H1,SHORT,126.04,127.7115733708455,123.53263994373177,SL,1,1.3262,1.5000,-1.0000,0.1357,-1.1357,-1.5062
1769356800000,2026-01-25T16:00:00.000Z,1769353200000,2,H1,SHORT,122.69,126.22840777448694,117.38238833826958,TP,3,2.8840,1.5000,1.5000,0.0624,1.4376,4.1460
1769652000000,2026-01-29T02:00:00.000Z,1769648400000,2,H1,SHORT,123.45,125.55958326044686,120.28562510932971,TP,12,1.7089,1.5000,1.5000,0.1053,1.3947,2.3833
1770624000000,2026-02-09T08:00:00.000Z,1770620400000,3,H2,SHORT,84.5,86.97918138788944,80.78122791816584,SL,9,2.9339,1.5000,-1.0000,0.0614,-1.0614,-3.1139
1770915600000,2026-02-12T17:00:00.000Z,1770912000000,3,H2,SHORT,77.86,79.72573034086429,75.06140448870357,SL,15,2.3963,1.5000,-1.0000,0.0751,-1.0751,-2.5763
1771250400000,2026-02-16T14:00:00.000Z,1771246800000,3,H2,SHORT,83.98,85.54502102021583,81.63246846967627,SL,7,1.8636,1.5000,-1.0000,0.0966,-1.0966,-2.0436
1771765200000,2026-02-22T13:00:00.000Z,1771761600000,3,H2,SHORT,83.94,85.1597920907201,82.11031186391983,TP,11,1.4532,1.5000,1.5000,0.1239,1.3761,1.9998
1772802000000,2026-03-06T13:00:00.000Z,1772798400000,3,H2,SHORT,85.54,88.0888708208588,81.71669376871182,TP,39,2.9797,1.5000,1.5000,0.0604,1.4396,4.2896
1776902400000,2026-04-23T00:00:00.000Z,1776898800000,3,H2,SHORT,86.82,87.59180915085355,85.66228627371966,TP,3,0.8890,1.5000,1.5000,0.2025,1.2975,1.1535
1777478400000,2026-04-29T16:00:00.000Z,1777474800000,3,H2,SHORT,83.06,84.08025620957581,81.52961568563629,TP,2,1.2283,1.5000,1.5000,0.1465,1.3535,1.6625
1778054400000,2026-05-06T08:00:00.000Z,1778050800000,3,H2,LONG,88.99,86.93470502082549,92.07294246876175,TP,58,2.3096,1.5000,1.5000,0.0779,1.4221,3.2844
1778252400000,2026-05-08T15:00:00.000Z,1778248800000,4,H2,LONG,89.55,88.39131306473038,91.28803040290441,TP,2,1.2939,1.5000,1.5000,0.1391,1.3609,1.7608
1778403600000,2026-05-10T09:00:00.000Z,1778400000000,4,H2,LONG,94.25,93.21990721036934,95.79513918444599,SL,2,1.0929,1.5000,-1.0000,0.1647,-1.1647,-1.2729
1778677200000,2026-05-13T13:00:00.000Z,1778673600000,4,H2,SHORT,92.23,94.37871616387231,89.00692575419154,TP,48,2.3297,1.5000,1.5000,0.0773,1.4227,3.3146
1778774400000,2026-05-14T16:00:00.000Z,1778770800000,4,H2,LONG,93.27,91.44051391404429,96.01422912893355,SL,10,1.9615,1.5000,-1.0000,0.0918,-1.0918,-2.1415
1778914800000,2026-05-16T07:00:00.000Z,1778911200000,4,H2,SHORT,87.42,88.71324727538551,85.48012908692174,TP,3,1.4793,1.5000,1.5000,0.1217,1.3783,2.0390
1779296400000,2026-05-20T17:00:00.000Z,1779292800000,4,H2,LONG,86.48,85.51493703131652,87.92759445302522,SL,3,1.1159,1.5000,-1.0000,0.1613,-1.1613,-1.2959
1781017200000,2026-06-09T15:00:00.000Z,1781013600000,4,H2,SHORT,64.29,66.0550482600965,61.64242760985527,SL,44,2.7454,1.5000,-1.0000,0.0656,-1.0656,-2.9254
1782320400000,2026-06-24T17:00:00.000Z,1782316800000,4,H2,SHORT,64.93,68.03929081265888,60.2660637810117,SL,4,4.7887,1.5000,-1.0000,0.0376,-1.0376,-4.9687
1783213200000,2026-07-05T01:00:00.000Z,1783209600000,4,H2,SHORT,80.82,81.89095588151837,79.21356617772244,SL,20,1.3251,1.5000,-1.0000,0.1358,-1.1358,-1.5051
1784188800000,2026-07-16T08:00:00.000Z,1784185200000,4,H2,SHORT,76.1,77.12743908333864,74.55884137499203,TP,21,1.3501,1.5000,1.5000,0.1333,1.3667,1.8452
1784898000000,2026-07-24T13:00:00.000Z,1784894400000,4,H2,SHORT,74.17,75.32302634186335,72.44046048720497,SL,50,1.5546,1.5000,-1.0000,0.1158,-1.1158,-1.7346
