phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,n,n_decided,wr_pct,e_r_before,e_r_after,h1_er,h2_er,h1_wr,h2_wr,q1_er,q2_er,q3_er,q4_er,q1_n,q2_n,q3_n,q4_n,concentration_pos_pct,concentration_abs_pct,top_quarter,cluster_n,cluster_trade_n,pass_er,pass_wr_better,pass_wf,pass_concentration,pass_dedup,pass_all,reject_reason
combo,20,5,1,10,0.003,1.2,false,80,36,36,58.3333,0.283333,0.176419,0.286158,0.053770,63.1579,52.9412,0.265019,0.301532,0.269464,-0.137959,8,11,8,9,43.6846,37.5450,2,0,0,true,true,true,true,true,true,""
combo,20,5,1,10,0.003,1.2,false,120,36,36,58.3333,0.283333,0.176419,0.286158,0.053770,63.1579,52.9412,0.265019,0.301532,0.269464,-0.137959,8,11,8,9,43.6846,37.5450,2,0,0,true,true,true,true,true,true,""
combo,20,5,1,5,0.003,1.2,false,80,36,36,58.3333,0.283333,0.176419,0.286158,0.053770,63.1579,52.9412,0.265019,0.301532,0.269464,-0.137959,8,11,8,9,43.6846,37.5450,2,0,0,true,true,true,true,true,true,""
combo,20,5,1,5,0.003,1.2,false,120,36,36,58.3333,0.283333,0.176419,0.286158,0.053770,63.1579,52.9412,0.265019,0.301532,0.269464,-0.137959,8,11,8,9,43.6846,37.5450,2,0,0,true,true,true,true,true,true,""
combo,30,4,1,10,0.005,1.2,false,80,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,10,0.005,1.2,false,120,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,10,0.003,1.2,false,80,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,10,0.003,1.2,false,120,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.005,1.2,false,80,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.005,1.2,false,120,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.003,1.2,false,80,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.003,1.2,false,120,13,13,69.2308,0.523077,0.404514,0.782811,-0.036834,85.7143,50.0000,-0.021196,1.104414,1.002505,-0.244702,2,5,1,5,84.6349,70.8823,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,10,0.003,1.2,false,80,27,27,62.9630,0.385185,0.268335,0.145168,0.400977,57.1429,69.2308,0.189856,0.120341,1.077754,-0.022008,5,9,5,8,72.6140,70.9311,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,10,0.003,1.2,false,120,27,27,62.9630,0.385185,0.268335,0.145168,0.400977,57.1429,69.2308,0.189856,0.120341,1.077754,-0.022008,5,9,5,8,72.6140,70.9311,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,5,0.003,1.2,false,80,27,27,62.9630,0.385185,0.268335,0.145168,0.400977,57.1429,69.2308,0.189856,0.120341,1.077754,-0.022008,5,9,5,8,72.6140,70.9311,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,5,0.003,1.2,false,120,27,27,62.9630,0.385185,0.268335,0.145168,0.400977,57.1429,69.2308,0.189856,0.120341,1.077754,-0.022008,5,9,5,8,72.6140,70.9311,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,10,0.005,1.5,false,80,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,10,0.005,1.5,false,120,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,10,0.003,1.5,false,80,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,10,0.003,1.5,false,120,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.005,1.5,false,80,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.005,1.5,false,120,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.003,1.5,false,80,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,4,1,5,0.003,1.5,false,120,13,13,61.5385,0.538462,0.419898,0.682811,0.113166,71.4286,50.0000,0.128804,0.904414,1.302505,-0.124702,2,5,1,5,74.3495,67.4363,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,5,1,10,0.003,1.2,false,80,18,18,61.1111,0.344444,0.237988,0.612181,-0.136206,77.7778,44.4444,0.365407,0.735568,0.354406,-0.381512,3,6,3,6,67.1461,49.8020,2,0,0,true,true,false,false,true,false,"walk_forward_fail|concentration>50%_posQ"
combo,30,5,1,10,0.003,1.2,false,120,18,18,61.1111,0.344444,0.237988,0.612181,-0.136206,77.7778,44.4444,0.365407,0.735568,0.354406,-0.381512,3,6,3,6,67.1461,49.8020,2,0,0,true,true,false,false,true,false,"walk_forward_fail|concentration>50%_posQ"
combo,30,5,1,5,0.003,1.2,false,80,18,18,61.1111,0.344444,0.237988,0.612181,-0.136206,77.7778,44.4444,0.365407,0.735568,0.354406,-0.381512,3,6,3,6,67.1461,49.8020,2,0,0,true,true,false,false,true,false,"walk_forward_fail|concentration>50%_posQ"
