scenario,symbol,days,timestamp,timestamp_iso,quarter,half,side,entry,sl,tp1,confidence,outcome,bars_held,sl_dist_pct,tp1_rr,gross_r,fee_r,net_r,net_pnl_pct
SOL-365d,SOLUSDT,365,1755014400000,2025-08-12T16:00:00.000Z,1,H1,SHORT,190.61,192.24831989999996,188.0542209560001,55.3472,SL,1,0.8595,1.5600,-1.0000,0.2094,-1.2094,-1.0395
SOL-365d,SOLUSDT,365,1755057600000,2025-08-13T04:00:00.000Z,1,H1,SHORT,198.79,201.35270134999996,195.71475838000003,58.8194,SL,1,1.2892,1.2000,-1.0000,0.1396,-1.1396,-1.4692
SOL-365d,SOLUSDT,365,1756267200000,2025-08-27T04:00:00.000Z,1,H1,SHORT,202.37,207.09701273999997,194.99586012560007,55.3472,SL,2,2.3358,1.5600,-1.0000,0.0771,-1.0771,-2.5158
SOL-365d,SOLUSDT,365,1757808000000,2025-09-14T00:00:00.000Z,1,H1,SHORT,246.81,251.04954594999995,241.72254486000006,56.4713,TP,3,1.7177,1.2000,1.2000,0.1048,1.0952,1.8813
SOL-365d,SOLUSDT,365,1760126400000,2025-10-10T20:00:00.000Z,1,H1,LONG,187.65,140.43359152,261.30759722880003,60.5556,TIMEOUT,,25.1620,1.5600,,0.0072,,
SOL-365d,SOLUSDT,365,1760270400000,2025-10-12T12:00:00.000Z,1,H1,LONG,190.96,180.66317575655665,203.31618909213202,58.3134,TP,7,5.3921,1.2000,1.2000,0.0334,1.1666,6.2906
SOL-365d,SOLUSDT,365,1761494400000,2025-10-26T16:00:00.000Z,1,H1,SHORT,198.81,201.03077846999997,195.87857241960003,65.9267,SL,1,1.1170,1.3200,-1.0000,0.1611,-1.1611,-1.2970
SOL-365d,SOLUSDT,365,1762142400000,2025-11-03T04:00:00.000Z,1,H1,LONG,176.38,173.04702681,180.7795246108,62.8472,SL,2,1.8897,1.3200,-1.0000,0.0953,-1.0953,-2.0697
SOL-365d,SOLUSDT,365,1763064000000,2025-11-13T20:00:00.000Z,2,H1,LONG,144.62,140.09562846,150.5921704328,84.7885,SL,2,3.1285,1.3200,-1.0000,0.0575,-1.0575,-3.3085
SOL-365d,SOLUSDT,365,1763409600000,2025-11-17T20:00:00.000Z,2,H1,LONG,130.9,127.92895829999999,134.46525004000003,70.9505,TP,1,2.2697,1.2000,1.2000,0.0793,1.1207,2.5436
SOL-365d,SOLUSDT,365,1763668800000,2025-11-20T20:00:00.000Z,2,H1,LONG,133.6,130.24499927,137.626000876,57.1574,SL,2,2.5112,1.2000,-1.0000,0.0717,-1.0717,-2.6912
SOL-365d,SOLUSDT,365,1764547200000,2025-12-01T00:00:00.000Z,2,H1,LONG,126.89,125.69243805,128.470781774,58.8194,SL,3,0.9438,1.3200,-1.0000,0.1907,-1.1907,-1.1238
SOL-365d,SOLUSDT,365,1765209600000,2025-12-08T16:00:00.000Z,2,H1,LONG,133.57,132.05409565,135.38908522,55.3151,SL,3,1.1349,1.2000,-1.0000,0.1586,-1.1586,-1.3149
SOL-365d,SOLUSDT,365,1765555200000,2025-12-12T16:00:00.000Z,2,H1,LONG,131.17,129.45973216000002,133.42755354879995,67.5000,TP,4,1.3039,1.3200,1.3200,0.1381,1.1819,1.5411
SOL-365d,SOLUSDT,365,1765713600000,2025-12-14T12:00:00.000Z,2,H1,LONG,130.6,129.24105018,132.3938137624,64.3084,SL,1,1.0405,1.3200,-1.0000,0.1730,-1.1730,-1.2205
SOL-365d,SOLUSDT,365,1768406400000,2026-01-14T16:00:00.000Z,2,H1,SHORT,146.75,149.29173559999995,143.39490900800007,64.5489,TP,2,1.7320,1.3200,1.3200,0.1039,1.2161,2.1063
SOL-365d,SOLUSDT,365,1768665600000,2026-01-17T16:00:00.000Z,2,H1,SHORT,144.2,145.12820387378503,143.08615535145793,56.5974,TP,2,0.6437,1.2000,1.2000,0.2796,0.9204,0.5924
SOL-365d,SOLUSDT,365,1770220800000,2026-02-04T16:00:00.000Z,2,H1,LONG,94.32,89.38128927999999,100.8390981504,62.8242,SL,1,5.2361,1.3200,-1.0000,0.0344,-1.0344,-5.4161
SOL-365d,SOLUSDT,365,1770292800000,2026-02-05T12:00:00.000Z,2,H1,LONG,84.55,82.86059024000001,86.57729171199999,56.5721,SL,1,1.9981,1.2000,-1.0000,0.0901,-1.0901,-2.1781
SOL-365d,SOLUSDT,365,1770307200000,2026-02-05T16:00:00.000Z,2,H1,LONG,81.63,80.63401008000001,82.94470669439998,55.1044,SL,1,1.2201,1.3200,-1.0000,0.1475,-1.1475,-1.4001
SOL-365d,SOLUSDT,365,1770321600000,2026-02-05T20:00:00.000Z,2,H1,LONG,78.29,77.02575740999998,79.95880021880004,60.5556,BOTH,1,1.6148,1.3200,-1.0000,0.1115,-1.1115,-1.7948
SOL-365d,SOLUSDT,365,1770336000000,2026-02-06T00:00:00.000Z,2,H1,LONG,76.66,66.88686561,96.01080609219999,60.5556,TIMEOUT,,12.7487,1.9800,,0.0141,,
SOL-365d,SOLUSDT,365,1772164800000,2026-02-27T04:00:00.000Z,3,H2,SHORT,87.26,88.79035433999998,85.42357479200004,55.5516,TP,1,1.7538,1.2000,1.2000,0.1026,1.0974,1.9245
SOL-365d,SOLUSDT,365,1772467200000,2026-03-02T16:00:00.000Z,3,H2,SHORT,87.62,90.86273287999997,82.56133670720006,55.3472,TP,5,3.7009,1.5600,1.5600,0.0486,1.5114,5.5934
SOL-365d,SOLUSDT,365,1773014400000,2026-03-09T00:00:00.000Z,3,H2,LONG,83.1,81.72053718563711,84.75535537723545,59.1878,TP,3,1.6600,1.2000,1.2000,0.1084,1.0916,1.8120
SOL-365d,SOLUSDT,365,1774555200000,2026-03-26T20:00:00.000Z,3,H2,LONG,86.47,84.85854832999999,88.59711620440001,67.5000,SL,3,1.8636,1.3200,-1.0000,0.0966,-1.0966,-2.0436
SOL-365d,SOLUSDT,365,1774598400000,2026-03-27T08:00:00.000Z,3,H2,LONG,83.3,82.05544294999999,84.94281530600001,58.8194,SL,2,1.4941,1.3200,-1.0000,0.1205,-1.1205,-1.6741
SOL-365d,SOLUSDT,365,1775750400000,2026-04-09T16:00:00.000Z,3,H2,SHORT,84.12,85.17878202999998,82.72240772040004,67.5000,SL,1,1.2587,1.3200,-1.0000,0.1430,-1.1430,-1.4387
SOL-365d,SOLUSDT,365,1775937600000,2026-04-11T20:00:00.000Z,3,H2,SHORT,84.89,85.50369160742277,84.15357007109269,59.3102,TP,1,0.7229,1.2000,1.2000,0.2490,0.9510,0.6875
SOL-365d,SOLUSDT,365,1777478400000,2026-04-29T16:00:00.000Z,3,H2,LONG,82.13,80.82287179,84.1691200076,50.4077,TP,8,1.5915,1.5600,1.5600,0.1131,1.4469,2.3028
