window,active_open_time,active_iso,breakout_open_time,quarter,half,side,entry,sl,tp1,outcome,bars_held,sl_dist_pct,tp1_rr,gross_r,fee_r,net_r
OOS,1724166000000,2024-08-20T15:00:00.000Z,1724162400000,1,H1,SHORT,0.5892,0.6000680608407474,0.5728979087388788,SL,3,1.844545288653671,1.5,-1,0.09758502602632302,-1.097585026026323
OOS,1725030000000,2024-08-30T15:00:00.000Z,1725026400000,1,H1,SHORT,0.548,0.561202400028594,0.5281963999571091,SL,3,2.409197085509847,1.5,-1,0.07471368825847116,-1.0747136882584711
OOS,1725408000000,2024-09-04T00:00:00.000Z,1725404400000,1,H1,SHORT,0.5521,0.5612174538209042,0.5384238192686439,TP,1,1.6514134796058904,1.5,1.5,0.10899753588238663,1.3910024641176133
OOS,1725552000000,2024-09-05T16:00:00.000Z,1725548400000,1,H1,SHORT,0.5417,0.5514276361042331,0.5271085458436503,TP,22,1.7957607724262705,1.5,1.5,0.10023606861441804,1.3997639313855819
OOS,1725638400000,2024-09-06T16:00:00.000Z,1725634800000,1,H1,SHORT,0.5195,0.5316273496641205,0.5013089755038191,SL,23,2.3344272693206056,1.5,-1,0.07710670722775863,-1.0771067072277587
OOS,1726653600000,2024-09-18T10:00:00.000Z,1726650000000,1,H1,SHORT,0.5707,0.5791512249925743,0.5580231625111385,SL,8,1.480852460587758,1.5,-1,0.1215516094888731,-1.1215516094888731
OOS,1727013600000,2024-09-22T14:00:00.000Z,1727010000000,1,H1,SHORT,0.5857,0.592565604446697,0.5754015933299544,SL,3,1.172204959313136,1.5,-1,0.1535567637467364,-1.1535567637467363
OOS,1728918000000,2024-10-14T15:00:00.000Z,1728914400000,1,H1,LONG,0.549,0.5384885598052002,0.5647671602921999,SL,20,1.9146521302003425,1.5,-1,0.09401185581485522,-1.0940118558148553
OOS,1729411200000,2024-10-20T08:00:00.000Z,1729407600000,1,H1,SHORT,0.5386,0.5424661522746381,0.5328007715880427,SL,6,0.7178151271143998,1.5,-1,0.250760945542616,-1.250760945542616
OOS,1729594800000,2024-10-22T11:00:00.000Z,1729587600000,1,H1,SHORT,0.5339,0.5432660587678375,0.5198509118482438,TP,29,1.754272104858114,1.5,1.5,0.10260665919587113,1.3973933408041288
OOS,1730383200000,2024-10-31T14:00:00.000Z,1730379600000,1,H1,SHORT,0.5103,0.5181044107425916,0.4985933838861125,SL,13,1.5293769826752184,1.5,-1,0.11769498432305435,-1.1176949843230544
OOS,1730714400000,2024-11-04T10:00:00.000Z,1730710800000,1,H1,LONG,0.5132,0.5051156855018849,0.5253264717471726,SL,10,1.575275623171295,1.5,-1,0.1142657179177506,-1.1142657179177506
OOS,1735506000000,2024-12-29T21:00:00.000Z,1735502400000,2,H1,SHORT,2.1095,2.151979236224538,2.0457811456631934,TP,10,2.013711127022416,1.5,1.5,0.08938720037076911,1.4106127996292308
OOS,1737939600000,2025-01-27T01:00:00.000Z,1737936000000,2,H1,SHORT,2.9783,3.033607809009368,2.895338286485948,TP,5,1.8570261225990643,1.5,1.5,0.09692916960590454,1.4030708303940955
OOS,1738440000000,2025-02-01T20:00:00.000Z,1738436400000,2,H1,SHORT,2.9227,2.974201474506316,2.845447788240526,TP,3,1.7621197696074193,1.5,1.5,0.10214969669178729,1.3978503033082128
OOS,1739250000000,2025-02-11T05:00:00.000Z,1739246400000,3,H2,LONG,2.5157,2.441256822958245,2.627364765562632,SL,8,2.9591436594885967,1.5,-1,0.06082840872656647,-1.0608284087265665
OOS,1739484000000,2025-02-13T22:00:00.000Z,1739480400000,3,H2,LONG,2.5263,2.4544181255876563,2.6341228116185156,TP,10,2.845341978875974,1.5,1.5,0.06326128856788854,1.4367387114321115
OOS,1743922800000,2025-04-06T07:00:00.000Z,1743919200000,3,H2,SHORT,2.0925,2.133450273456247,2.0310745898156295,TP,10,1.9570023157107301,1.5,1.5,0.09197740777053137,1.4080225922294687
OOS,1743944400000,2025-04-06T13:00:00.000Z,1743940800000,3,H2,SHORT,2.05,2.0942532550307313,1.9836201174539025,TP,5,2.1586953673527574,1.5,1.5,0.08338369680235933,1.4166163031976406
OOS,1744761600000,2025-04-16T00:00:00.000Z,1744758000000,3,H2,SHORT,2.0715,2.1087180873159945,2.015672869026008,SL,14,1.7966732954861033,1.5,-1,0.10018515912282186,-1.1001851591228218
OOS,1747576800000,2025-05-18T14:00:00.000Z,1747573200000,4,H2,LONG,2.4274,2.3863135727301676,2.4890296409047483,SL,4,1.6926104997047196,1.5,-1,0.10634460794813778,-1.1063446079481378
OOS,1748440800000,2025-05-28T14:00:00.000Z,1748437200000,4,H2,SHORT,2.2669,2.2977956284419268,2.22055655733711,SL,10,1.362902132512533,1.5,-1,0.13207111186198453,-1.1320711118619846
OOS,1748563200000,2025-05-30T00:00:00.000Z,1748559600000,4,H2,SHORT,2.1548,2.2710470999678947,1.9804293500481576,TIMEOUT,,5.39479765954589,1.5,,0.03336547751359994,
OOS,1748901600000,2025-06-02T22:00:00.000Z,1748898000000,4,H2,LONG,2.1897,2.1675428384411757,2.2229357423382368,TP,14,1.011881150788899,1.5,1.5,0.17788650362709643,1.3221134963729035
OOS,1748962800000,2025-06-03T15:00:00.000Z,1748959200000,4,H2,LONG,2.2622,2.2129991242541887,2.336001313618717,SL,28,2.174912728574456,1.5,-1,0.08276194149545522,-1.0827619414954552
OOS,1749150000000,2025-06-05T19:00:00.000Z,1749146400000,4,H2,SHORT,2.129,2.1797993662093806,2.052800950685929,SL,19,2.3860669896374183,1.5,-1,0.07543794905244987,-1.07543794905245
OOS,1749366000000,2025-06-08T07:00:00.000Z,1749362400000,4,H2,LONG,2.2064,2.1845359674248854,2.239196048862672,TP,4,0.9909369368706712,1.5,1.5,0.18164627162696237,1.3183537283730375
OOS,1749387600000,2025-06-08T13:00:00.000Z,1749384000000,4,H2,LONG,2.2664,2.2345185282320377,2.3142222076519436,SL,14,1.4067010134116793,1.5,-1,0.12795896091909756,-1.1279589609190976
OOS,1749679200000,2025-06-11T22:00:00.000Z,1749675600000,4,H2,SHORT,2.26,2.2965088545653383,2.2052367181519923,TP,21,1.615436042714092,1.5,1.5,0.11142502410530734,1.3885749758946926
OOS,1749758400000,2025-06-12T20:00:00.000Z,1749754800000,4,H2,SHORT,2.1822,2.238627919749848,2.097558120375228,TP,4,2.5858271354526656,1.5,1.5,0.06961022163165205,1.430389778368348
OOS,1750431600000,2025-06-20T15:00:00.000Z,1750428000000,4,H2,SHORT,2.1325,2.1526565457799762,2.1022651813300355,TP,2,0.9452073050399243,1.5,1.5,0.19043441480003906,1.309565585199961
OOS,1750532400000,2025-06-21T19:00:00.000Z,1750528800000,4,H2,SHORT,2.0698,2.105951279376398,2.015573080935402,TP,2,1.746607371552724,1.5,1.5,0.10305693364844844,1.3969430663515516
OOS,1750939200000,2025-06-26T12:00:00.000Z,1750935600000,4,H2,SHORT,2.1562,2.184746640635391,2.1133800390469135,TP,2,1.3239328742876784,1.5,1.5,0.13595855461844786,1.3640414453815521
OOS,1751472000000,2025-07-02T16:00:00.000Z,1751468400000,4,H2,LONG,2.255,2.187818808071424,2.3557717878928637,TIMEOUT,,2.9792102850809696,1.5,,0.06041869582063017,
OOS,1754262000000,2025-08-03T23:00:00.000Z,1754258400000,4,H2,LONG,2.9463,2.903110863429439,3.0110837048558414,TP,1,1.4658770855161052,1.5,1.5,0.1227933786389912,1.3772066213610088
