window,active_open_time,active_iso,breakout_open_time,quarter,half,side,entry,sl,tp1,outcome,bars_held,sl_dist_pct,tp1_rr,gross_r,fee_r,net_r
IS,1756234800000,2025-08-26T19:00:00.000Z,1756231200000,1,H1,LONG,3.0596,2.932523495735584,3.250214756396624,SL,57,4.153369860910452,1.5,-1,0.04333830263807581,-1.0433383026380758
IS,1756602000000,2025-08-31T01:00:00.000Z,1756598400000,1,H1,LONG,2.8614,2.814858362769415,2.931212455845878,SL,9,1.6265337677565224,1.5,-1,0.11066477903392928,-1.1106647790339292
IS,1757253600000,2025-09-07T14:00:00.000Z,1757250000000,1,H1,LONG,2.8839,2.826671474845285,2.9697427877320726,TP,22,1.9844143401198067,1.5,1.5,0.09070686315899769,1.4092931368410022
IS,1757707200000,2025-09-12T20:00:00.000Z,1757703600000,1,H1,LONG,3.1221,3.055229415666373,3.2224058765004404,SL,39,2.1418463320722276,1.5,-1,0.08403964248259152,-1.0840396424825915
IS,1757851200000,2025-09-14T12:00:00.000Z,1757847600000,1,H1,SHORT,3.049,3.095474286730893,2.97928856990366,TP,20,1.5242468589994476,1.5,1.5,0.11809110770820702,1.381908892291793
IS,1758729600000,2025-09-24T16:00:00.000Z,1758726000000,1,H1,LONG,2.9452,2.9009336188201917,3.011599571769712,SL,9,1.5030008549439116,1.5,-1,0.11976041091920547,-1.1197604109192054
IS,1759845600000,2025-10-07T14:00:00.000Z,1759842000000,1,H1,SHORT,2.9083,2.9744734947892457,2.809039757816132,TP,42,2.2753324894008737,1.5,1.5,0.07910931735844745,1.4208906826415526
IS,1759996800000,2025-10-09T08:00:00.000Z,1759993200000,1,H1,SHORT,2.7863,2.836969686651902,2.7102954700221478,SL,4,1.8185294710512734,1.5,-1,0.09898107392009645,-1.0989810739200965
IS,1760112000000,2025-10-10T16:00:00.000Z,1760108400000,1,H1,SHORT,2.7279,2.798764882917819,2.6216026756232713,TP,4,2.5977815505634045,1.5,1.5,0.0692898908150925,1.4307101091849075
IS,1760122800000,2025-10-10T19:00:00.000Z,1760119200000,1,H1,SHORT,2.6752,2.7351328162428747,2.5853007756356874,TP,1,2.240311611949572,1.5,1.5,0.08034596573079392,1.419654034269206
IS,1760418000000,2025-10-14T05:00:00.000Z,1760414400000,1,H1,SHORT,2.5045,2.5703018227497836,2.405797265875325,TP,8,2.627343691346912,1.5,1.5,0.06851026022702142,1.4314897397729787
IS,1761397200000,2025-10-25T13:00:00.000Z,1761393600000,1,H1,LONG,2.5964,2.5476588902790342,2.6695116645814485,TP,36,1.8772573455925816,1.5,1.5,0.09588456288244304,1.404115437117557
IS,1764180000000,2025-11-26T18:00:00.000Z,1764176400000,2,H1,LONG,2.2412,2.190242244876694,2.317636632684959,SL,14,2.2736817385019643,1.5,-1,0.0791667527393674,-1.0791667527393674
IS,1764856800000,2025-12-04T14:00:00.000Z,1764853200000,2,H1,SHORT,2.1187,2.1549716840207984,2.0642924739688024,SL,1,1.7119782895548397,1.5,-1,0.10514152025070647,-1.1051415202507064
IS,1764874800000,2025-12-04T19:00:00.000Z,1764871200000,2,H1,SHORT,2.0962,2.1347132693504465,2.0384300959743307,TP,21,1.8372898268507971,1.5,1.5,0.0979703895212486,1.4020296104787513
IS,1765710000000,2025-12-14T11:00:00.000Z,1765706400000,2,H1,SHORT,1.9998,2.0162422659614,1.9751366010579,TP,12,0.8221955176217663,1.5,1.5,0.21892602932287594,1.2810739706771241
IS,1765810800000,2025-12-15T15:00:00.000Z,1765807200000,2,H1,SHORT,1.9239,1.9621546009432662,1.8665180985851006,TP,3,1.9883882188921602,1.5,1.5,0.09052558161921108,1.409474418380789
IS,1766703600000,2025-12-25T23:00:00.000Z,1766700000000,2,H1,SHORT,1.8315,1.8636021980606456,1.7833467029090313,SL,3,1.7527817668930241,1.5,-1,0.10269390257240493,-1.102693902572405
IS,1766973600000,2025-12-29T02:00:00.000Z,1766970000000,2,H1,LONG,1.8911,1.8692166248470103,1.9239250627294844,SL,7,1.1571770479080776,1.5,-1,0.15555095940193467,-1.1555509594019346
