slice,start_iso,end_iso,n_active,n_decided,wins,losses,both,timeout,wr_pct,e_r_before,e_r_after,sign,long_n,short_n
IS_FULL_365d,2025-08-08T04:32:23.655Z,2026-08-08T04:32:23.655Z,55,55,29,26,0,0,52.7273,0.318182,0.196348,positive,21,34
IS_Q1,2025-08-08T04:32:23.655Z,2025-11-07T04:32:23.655Z,12,12,7,5,0,0,58.3333,0.458333,0.370106,positive,6,6
IS_Q2,2025-11-07T04:32:23.655Z,2026-02-06T04:32:23.655Z,11,11,5,6,0,0,45.4545,0.136364,0.014950,positive,4,7
IS_Q3,2026-02-06T04:32:23.655Z,2026-05-08T04:32:23.655Z,15,15,8,7,0,0,53.3333,0.333333,0.212536,positive,4,11
IS_Q4,2026-05-08T04:32:23.655Z,2026-08-08T04:32:23.655Z,17,17,9,8,0,0,52.9412,0.323529,0.176785,positive,7,10
IS_H1,2025-08-08T04:32:23.655Z,2026-02-06T16:32:23.655Z,23,23,12,11,0,0,52.1739,0.304348,0.200249,positive,10,13
IS_H2,2026-02-06T16:32:23.655Z,2026-08-08T04:32:23.655Z,32,32,17,15,0,0,53.1250,0.328125,0.193544,positive,11,21
OOS_FULL_365d,2024-08-08T04:32:23.655Z,2025-08-08T04:32:23.655Z,35,33,17,16,0,2,51.5152,0.287879,0.175195,positive,11,24
OOS_Q1,2024-08-08T04:32:23.655Z,2024-11-07T04:32:23.655Z,12,12,3,9,0,0,25.0000,-0.375000,-0.492757,negative,2,10
OOS_Q2,2024-11-07T04:32:23.655Z,2025-02-06T04:32:23.655Z,3,3,3,0,0,0,100.0000,1.500000,1.403845,positive,0,3
OOS_Q3,2025-02-06T04:32:23.655Z,2025-05-08T04:32:23.655Z,5,5,3,2,0,0,60.0000,0.500000,0.420073,positive,2,3
OOS_Q4,2025-05-08T04:32:23.655Z,2025-08-08T04:32:23.655Z,15,13,8,5,0,2,61.5385,0.538462,0.414047,positive,7,8
OOS_H1,2024-08-08T04:32:23.655Z,2025-02-06T16:32:23.655Z,15,15,6,9,0,0,40.0000,0.000000,-0.113437,negative,2,13
OOS_H2,2025-02-06T16:32:23.655Z,2025-08-08T04:32:23.655Z,20,18,11,7,0,2,61.1111,0.527778,0.415721,positive,9,11
