phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,is_n,is_wr,is_e_r_before,is_e_r_after,is_conc_pct,is_top_q,is_q1_n,is_q2_n,is_q3_n,is_q4_n,is_q1_er,is_q2_er,is_q3_er,is_q4_er,is_cluster_n,is_small_n_flag,oos_n,oos_wr,oos_e_r_before,oos_e_r_after,oos_conc_pct,oos_top_q,oos_q1_n,oos_q2_n,oos_q3_n,oos_q4_n,oos_q1_er,oos_q2_er,oos_q3_er,oos_q4_er,oos_cluster_n,oos_small_n_flag,pass_is_er,pass_oos_er,pass_wr,pass_conc_is,pass_conc_oos,pass_small_n_is,pass_small_n_oos,pass_all,reject_reason,cluster_note
combo,20,3,1,10,0.005,2.5,true,80,11,54.5455,0.909091,0.776974,56.6300,1,2,3,2,4,2.420002,0.004338,0.656186,0.595331,0,true,10,55.5556,0.944444,0.806403,70.9684,4,4,1,0,5,-0.261444,2.410613,,1.473198,0,false,true,true,true,false,false,false,true,false,"is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=56.6%",""
combo,20,3,1,5,0.005,2.5,true,80,11,54.5455,0.909091,0.776974,56.6300,1,2,3,2,4,2.420002,0.004338,0.656186,0.595331,0,true,10,55.5556,0.944444,0.806403,70.9684,4,4,1,0,5,-0.261444,2.410613,,1.473198,0,false,true,true,true,false,false,false,true,false,"is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=56.6%",""
combo,20,3,1,10,0.005,2.5,true,40,11,50.0000,0.750000,0.611515,49.6863,1,2,3,2,4,2.430710,0.004338,0.656186,0.568011,0,true,10,50.0000,0.750000,0.607529,70.9684,4,4,1,0,5,-1.147723,2.410613,,1.473198,0,false,true,true,false,true,false,false,true,false,"is_wr_not_above_baseline|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=49.7%",""
combo,20,3,1,5,0.005,2.5,true,40,11,50.0000,0.750000,0.611515,49.6863,1,2,3,2,4,2.430710,0.004338,0.656186,0.568011,0,true,10,50.0000,0.750000,0.607529,70.9684,4,4,1,0,5,-1.147723,2.410613,,1.473198,0,false,true,true,false,true,false,false,true,false,"is_wr_not_above_baseline|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=49.7%",""
combo,15,5,1.5,10,0.003,2.5,true,40,18,42.8571,0.500000,0.402806,64.2193,4,4,6,4,4,0.100379,0.290004,0.088873,1.207170,0,true,16,42.8571,0.500000,0.405095,65.4392,2,6,4,0,6,-1.100278,2.437114,,0.643564,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=64.2%|oos_small_n_pos>30%:Q2_n=4_share=65.4%",""
combo,15,5,1.5,5,0.003,2.5,true,40,18,42.8571,0.500000,0.402806,64.2193,4,4,6,4,4,0.100379,0.290004,0.088873,1.207170,0,true,16,42.8571,0.500000,0.405095,65.4392,2,6,4,0,6,-1.100278,2.437114,,0.643564,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=64.2%|oos_small_n_pos>30%:Q2_n=4_share=65.4%",""
combo,20,3,1.5,10,0.005,1.5,true,80,11,60.0000,0.500000,0.392519,59.3961,1,2,3,2,4,1.428715,-0.295204,0.171664,0.536682,0,true,10,60.0000,0.500000,0.394926,75.7964,4,4,1,0,5,-0.484712,1.425134,,0.892595,0,false,true,true,true,false,false,false,true,false,"is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=59.4%;Q4_n=4_share=33.5%",""
combo,20,3,1.5,10,0.005,1.5,true,40,11,60.0000,0.500000,0.392519,59.3961,1,2,3,2,4,1.428715,-0.295204,0.171664,0.536682,0,true,10,60.0000,0.500000,0.394926,75.7964,4,4,1,0,5,-0.484712,1.425134,,0.892595,0,false,true,true,true,false,false,false,true,false,"is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=59.4%;Q4_n=4_share=33.5%",""
combo,20,3,1.5,5,0.005,1.5,true,80,11,60.0000,0.500000,0.392519,59.3961,1,2,3,2,4,1.428715,-0.295204,0.171664,0.536682,0,true,10,60.0000,0.500000,0.394926,75.7964,4,4,1,0,5,-0.484712,1.425134,,0.892595,0,false,true,true,true,false,false,false,true,false,"is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=59.4%;Q4_n=4_share=33.5%",""
combo,20,3,1.5,5,0.005,1.5,true,40,11,60.0000,0.500000,0.392519,59.3961,1,2,3,2,4,1.428715,-0.295204,0.171664,0.536682,0,true,10,60.0000,0.500000,0.394926,75.7964,4,4,1,0,5,-0.484712,1.425134,,0.892595,0,false,true,true,true,false,false,false,true,false,"is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=59.4%;Q4_n=4_share=33.5%",""
